"ltg","transcript_url","video_link"
"141","https://www.althingi.is/altext/141/f074.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=141&fundnr=74"
"141","https://www.althingi.is/altext/141/f075.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=141&fundnr=75"
"141","https://www.althingi.is/altext/141/f076.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=141&fundnr=76"
"141","https://www.althingi.is/altext/141/f077.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=141&fundnr=77"
"141","https://www.althingi.is/altext/141/f078.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=141&fundnr=78"
"141","https://www.althingi.is/altext/141/f079.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=141&fundnr=79"
"141","https://www.althingi.is/altext/141/f080.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=141&fundnr=80"
"141","https://www.althingi.is/altext/141/f081.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=141&fundnr=81"
"141","https://www.althingi.is/altext/141/f082.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=141&fundnr=82"
"141","https://www.althingi.is/altext/141/f083.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=141&fundnr=83"
"141","https://www.althingi.is/altext/141/f084.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=141&fundnr=84"
"141","https://www.althingi.is/altext/141/f085.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=141&fundnr=85"
"141","https://www.althingi.is/altext/141/f086.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=141&fundnr=86"
"141","https://www.althingi.is/altext/141/f087.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=141&fundnr=87"
"141","https://www.althingi.is/altext/141/f088.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=141&fundnr=88"
"141","https://www.althingi.is/altext/141/f089.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=141&fundnr=89"
"141","https://www.althingi.is/altext/141/f090.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=141&fundnr=90"
"141","https://www.althingi.is/altext/141/f091.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=141&fundnr=91"
"141","https://www.althingi.is/altext/141/f092.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=141&fundnr=92"
"141","https://www.althingi.is/altext/141/f093.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=141&fundnr=93"
"141","https://www.althingi.is/altext/141/f094.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=141&fundnr=94"
"141","https://www.althingi.is/altext/141/f095.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=141&fundnr=95"
"141","https://www.althingi.is/altext/141/f096.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=141&fundnr=96"
"141","https://www.althingi.is/altext/141/f097.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=141&fundnr=97"
"141","https://www.althingi.is/altext/141/f098.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=141&fundnr=98"
"141","https://www.althingi.is/altext/141/f099.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=141&fundnr=99"
"141","https://www.althingi.is/altext/141/f100.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=141&fundnr=100"
"141","https://www.althingi.is/altext/141/f101.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=141&fundnr=101"
"141","https://www.althingi.is/altext/141/f102.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=141&fundnr=102"
"141","https://www.althingi.is/altext/141/f103.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=141&fundnr=103"
"141","https://www.althingi.is/altext/141/f104.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=141&fundnr=104"
"141","https://www.althingi.is/altext/141/f105.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=141&fundnr=105"
"141","https://www.althingi.is/altext/141/f106.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=141&fundnr=106"
"141","https://www.althingi.is/altext/141/f107.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=141&fundnr=107"
"141","https://www.althingi.is/altext/141/f108.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=141&fundnr=108"
"141","https://www.althingi.is/altext/141/f109.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=141&fundnr=109"
"141","https://www.althingi.is/altext/141/f110.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=141&fundnr=110"
"141","https://www.althingi.is/altext/141/f111.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=141&fundnr=111"
"141","https://www.althingi.is/altext/141/f112.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=141&fundnr=112"
"141","https://www.althingi.is/altext/141/f113.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=141&fundnr=113"
"141","https://www.althingi.is/altext/141/f114.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=141&fundnr=114"
"142","https://www.althingi.is/altext/142/f000.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=142&fundnr=0"
"142","https://www.althingi.is/altext/142/f001.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=142&fundnr=1"
"142","https://www.althingi.is/altext/142/f002.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=142&fundnr=2"
"142","https://www.althingi.is/altext/142/f003.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=142&fundnr=3"
