cycle,legislation,session_number,session_title,session_date,link_to_session
10,1,11,Reunião N.º 11 (21/04/2005),21/04/2005,https://av.parlamento.pt/videos/Plenary/10/1/11
10,1,10,Reunião N.º 10 (20/04/2005),20/04/2005,https://av.parlamento.pt/videos/Plenary/10/1/10
10,1,9,Reunião N.º 9 (15/04/2005),15/04/2005,https://av.parlamento.pt/videos/Plenary/10/1/9
10,1,8,Reunião N.º 8 (14/04/2005),14/04/2005,https://av.parlamento.pt/videos/Plenary/10/1/8
10,1,7,Reunião N.º 7 (13/04/2005),13/04/2005,https://av.parlamento.pt/videos/Plenary/10/1/7
10,1,6,Reunião N.º 6 (07/04/2005),07/04/2005,https://av.parlamento.pt/videos/Plenary/10/1/6
10,1,5,Reunião N.º 5 (31/03/2005),31/03/2005,https://av.parlamento.pt/videos/Plenary/10/1/5
10,1,4,Reunião N.º 4 (22/03/2005),22/03/2005,https://av.parlamento.pt/videos/Plenary/10/1/4
10,1,3,Reunião N.º 3 (21/03/2005),21/03/2005,https://av.parlamento.pt/videos/Plenary/10/1/3
10,1,2,Reunião N.º 2 (16/03/2005),16/03/2005,https://av.parlamento.pt/videos/Plenary/10/1/2
10,1,1,Reunião N.º 1 (10/03/2005),10/03/2005,https://av.parlamento.pt/videos/Plenary/10/1/1
10,2,110,Reunião N.º 110 (06/09/2007),06/09/2007,https://av.parlamento.pt/videos/Plenary/10/2/110
10,2,109,Reunião N.º 109 (20/07/2007),20/07/2007,https://av.parlamento.pt/videos/Plenary/10/2/109
10,2,108,Reunião N.º 108 (19/07/2007),19/07/2007,https://av.parlamento.pt/videos/Plenary/10/2/108
10,2,107,Reunião N.º 107 (18/07/2007),18/07/2007,https://av.parlamento.pt/videos/Plenary/10/2/107
10,2,106,Reunião N.º 106 (13/07/2007),13/07/2007,https://av.parlamento.pt/videos/Plenary/10/2/106
10,2,105,Reunião N.º 105 (12/07/2007),12/07/2007,https://av.parlamento.pt/videos/Plenary/10/2/105
10,2,104,Reunião N.º 104 (11/07/2007),11/07/2007,https://av.parlamento.pt/videos/Plenary/10/2/104
10,2,103,Reunião N.º 103 (06/07/2007),06/07/2007,https://av.parlamento.pt/videos/Plenary/10/2/103
10,2,102,Reunião N.º 102 (05/07/2007),05/07/2007,https://av.parlamento.pt/videos/Plenary/10/2/102
10,2,101,Reunião N.º 101 (04/07/2007),04/07/2007,https://av.parlamento.pt/videos/Plenary/10/2/101
