transcript_id,processed_transcript_text_link,title
slovenia_2022_77_izredna_0_15062024,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=sz&uid=4081D65D99011A48C1258BF0003A5554,77. izredna seja Državnega zbora
slovenia_2022_77_izredna_1_15072024,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=mag&uid=827B9702F615F285C1258B5B0052B7D2,77. izredna seja Državnega zbora
slovenia_2022_76_izredna_0_15072024,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=mag&uid=5A6DC7E6A9FD8ED7C1258B5B002E3D98,76. izredna seja Državnega zbora
slovenia_2022_22_redna_0_08072024,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=sz&uid=1B2F08F235945703C1258B57005556AE,22. redna seja Državnega zbora
slovenia_2022_22_redna_1_09072024,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=sz&uid=0FA4DE427B6895EBC1258C1C0048DA0A,22. redna seja Državnega zbora
slovenia_2022_22_redna_2_10072024,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=sz&uid=8B213748171D93EAC1258C1F003A14C3,22. redna seja Državnega zbora
slovenia_2022_21_redna_0_17062024,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=sz&uid=27CFBB6638145D83C1258B4800398970,21. redna seja Državnega zbora
slovenia_2022_21_redna_1_18062024,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=sz&uid=4E82A22670B2B53DC1258C04004778CF,21. redna seja Državnega zbora
slovenia_2022_21_redna_2_19062024,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=sz&uid=D47F85CF6288BD31C1258C12005BDDBE,21. redna seja Državnega zbora
slovenia_2022_75_izredna_0_14062024,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=sz&uid=047AC27BE1A6516CC1258BF000391627,75. izredna seja Državnega zbora
slovenia_2022_74_izredna_0_04062024,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=sz&uid=6059AFC9664C9A86C1258BF00037ADD6,74. izredna seja Državnega zbora
slovenia_2022_73_izredna_0_04062024,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=mag&uid=19367C8B413825DEC1258B32004ECAD0,73. izredna seja Državnega zbora
slovenia_2022_72_izredna_0_31052024,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=mag&uid=A9991549658D23EBC1258B2E003988F0,72. izredna seja Državnega zbora
slovenia_2022_71_izredna_0_23052024,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=mag&uid=E4778C69F3FDA6A5C1258B260043517C,71. izredna seja Državnega zbora
slovenia_2022_20_redna_0_20052024,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=sz&uid=CF79B44EA94F7891C1258B27004EE0A1,20. redna seja Državnega zbora
slovenia_2022_20_redna_1_22052024,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=sz&uid=7E194C049E11ED1BC1258C040034A584,20. redna seja Državnega zbora
slovenia_2022_20_redna_2_23052024,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=sz&uid=E8D95375275F1884C1258BF0004FCBEF,20. redna seja Državnega zbora
slovenia_2022_70_izredna_0_13052024,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=mag&uid=23B5CA3FF953E497C1258B1C003E6FEA,70. izredna seja Državnega zbora
slovenia_2022_69_izredna_0_06052024,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=mag&uid=3E4E711CB7740078C1258B15004009BA,69. izredna seja Državnega zbora
slovenia_2022_68_izredna_0_24042024,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=mag&uid=E6395EC791F04021C1258B090027B62F,68. izredna seja Državnega zbora
slovenia_2022_68_izredna_1_25042024,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=mag&uid=A8F57B143019DD14C1258B0A00299ECB,68. izredna seja Državnega zbora
slovenia_2022_19_redna_0_22042024,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=sz&uid=0D438B76670B8A17C1258B0B004742FB,19. redna seja Državnega zbora
slovenia_2022_19_redna_1_23042024,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=sz&uid=DCC29937C369C329C1258BF90059D772,19. redna seja Državnega zbora
slovenia_2022_19_redna_2_26042024,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=sz&uid=6635D8628D63141FC1258BF0004D6F30,19. redna seja Državnega zbora
slovenia_2022_67_izredna_0_17042024,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=mag&uid=AA409E18139A5EB6C1258B020034B9E5,67. izredna seja Državnega zbora
slovenia_2022_66_izredna_0_28032024,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=sz&uid=944CB604BD707C52C1258AFC004DD1B9,66. izredna seja Državnega zbora
slovenia_2022_18_redna_0_25032024,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=sz&uid=BF0A18482ACEAD5BC1258AEF0041B4C5,18. redna seja Državnega zbora
slovenia_2022_18_redna_1_26032024,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=sz&uid=ABC18FBA1091F85FC1258BE30058B540,18. redna seja Državnega zbora
slovenia_2022_18_redna_2_27032024,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=sz&uid=95CDE7FB9AFD8974C1258BE3005AAE08,18. redna seja Državnega zbora
slovenia_2022_18_redna_3_28032024,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=sz&uid=D20631DBC27DA782C1258BF700420285,18. redna seja Državnega zbora
slovenia_2022_18_redna_4_02042024,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=sz&uid=A475CB57990E1E27C1258BE40034292D,18. redna seja Državnega zbora
slovenia_2022_65_izredna_0_21032024,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=sz&uid=1995E0EB27AEE171C1258AFD00514FC5,65. izredna seja Državnega zbora
slovenia_2022_17_redna_0_04032024,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=sz&uid=EEE57DDA7C2DDAB4C1258ADD003E6A40,17. redna seja Državnega zbora
slovenia_2022_17_redna_1_05032024,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=sz&uid=D5D5A6048C8F6759C1258BB80047DAD4,17. redna seja Državnega zbora
slovenia_2022_17_redna_2_06032024,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=sz&uid=512E1FC28A17D5E6C1258BB8004B8F00,17. redna seja Državnega zbora
slovenia_2022_17_redna_3_07032024,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=sz&uid=126ED956A5CBF5D3C1258BB800484DAA,17. redna seja Državnega zbora
slovenia_2022_62_izredna_0_21022024,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=mag&uid=9CF3198DFDA1647AC1258ACA00346082,62. izredna seja Državnega zbora
slovenia_2022_64_izredna_0_21022024,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=sz&uid=F37B23825CA9AA77C1258B2A0050E86C,64. izredna seja Državnega zbora
slovenia_2022_63_izredna_0_16022024,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=mag&uid=BA9E139D299444FEC1258AC5003437A3,63. izredna seja Državnega zbora
slovenia_2022_16_redna_0_29012024,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=sz&uid=FCEB404854A15ED9C1258AB70054C863,16. redna seja Državnega zbora
slovenia_2022_16_redna_1_30012024,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=sz&uid=10D7A395ADFDC65FC1258B4D0037284F,16. redna seja Državnega zbora
slovenia_2022_16_redna_2_31012024,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=sz&uid=E07B487586689429C1258BB800402335,16. redna seja Državnega zbora
slovenia_2022_16_redna_3_01022024,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=sz&uid=11329402C94D106DC1258B4D0032205B,16. redna seja Državnega zbora
slovenia_2022_61_izredna_0_26012024,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=mag&uid=63CF979B69962FE0C1258AB000361CAB,61. izredna seja Državnega zbora
slovenia_2022_60_izredna_0_12012024,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=mag&uid=E10522C2D310A03EC1258AA2003437C6,60. izredna seja Državnega zbora
