video_id,processed_video_link,title
slovenia_85_Izredna_1_11102024,https://365.rtvslo.si/embed/%0A175078743?a=1&d=1,Državni zbor (85. Izredna)
slovenia_24_Redna_0_21102024,https://365.rtvslo.si/embed/175081027?a=1&d=1,Državni zbor (24. Redna)
slovenia_24_Redna_0_22102024,https://365.rtvslo.si/embed/175081225?a=1&d=1,Državni zbor (24. Redna)
slovenia_24_Redna_1_22102024,https://365.rtvslo.si/embed/175081249?a=1&d=1,Državni zbor (24. Redna)
slovenia_24_Redna_0_23102024,https://365.rtvslo.si/embed/175081473?a=1&d=1,Državni zbor (24. Redna)
slovenia_24_Redna_1_23102024,https://365.rtvslo.si/embed/%0A175081531?a=1&d=1,Državni zbor (24. Redna)
slovenia_24_Redna_2_23102024,https://365.rtvslo.si/embed/%0A175081563?a=1&d=1,Državni zbor (24. Redna)
slovenia_86_Izredna_0_24102024,https://365.rtvslo.si/embed/175081796?a=1&d=1,Državni zbor (86. Izredna)
slovenia_87_Izredna_0_24102024,https://365.rtvslo.si/embed/175081820?a=1&d=1,Državni zbor (87. Izredna)
slovenia_24_Redna_0_25102024,https://365.rtvslo.si/embed/175082001?a=1&d=1,Državni zbor (24. Redna)
slovenia_78_Izredna_0_05092024,https://365.rtvslo.si/embed/175070152?a=1&d=1,Državni zbor (78. Izredna)
slovenia_78_Izredna_1_05092024,https://365.rtvslo.si/embed/175070164?a=1&d=1,Državni zbor (78. Izredna)
slovenia_78_Izredna_2_05092024,https://365.rtvslo.si/embed/175070181?a=1&d=1,Državni zbor (78. Izredna)
slovenia_79_Izredna_0_09092024,https://365.rtvslo.si/embed/175070951?a=1&d=1,Državni zbor (79. Izredna)
slovenia_79_Izredna_1_09092024,https://365.rtvslo.si/embed/%0A175070962?a=1&d=1,Državni zbor (79. Izredna)
slovenia_80_Izredna_0_10092024,https://365.rtvslo.si/embed/175071277?a=1&d=1,Državni zbor (80. Izredna)
slovenia_81_Izredna_0_17092024,https://365.rtvslo.si/embed/175072874?a=1&d=1,Državni zbor (81. Izredna)
slovenia_23_Redna_0_23092024,https://365.rtvslo.si/embed/175074203?a=1&d=1,Državni zbor (23. Redna)
slovenia_23_Redna_0_24092024,https://365.rtvslo.si/embed/175074404?a=1&d=1,Državni zbor (23. Redna)
slovenia_23_Redna_1_24092024,https://365.rtvslo.si/embed/175074418?a=1&d=1,Državni zbor (23. Redna)
slovenia_23_Redna_2_24092024,https://365.rtvslo.si/embed/175074409?a=1&d=1,Državni zbor (23. Redna)
slovenia_23_Redna_0_25092024,https://365.rtvslo.si/embed/175074619?a=1&d=1,Državni zbor (23. Redna)
slovenia_23_Redna_1_25092024,https://365.rtvslo.si/embed/%0A175074672?a=1&d=1,Državni zbor (23. Redna)
slovenia_23_Redna_2_25092024,https://365.rtvslo.si/embed/%0A175074707?a=1&d=1,Državni zbor (23. Redna)
slovenia_23_Redna_3_25092024,https://365.rtvslo.si/embed/%0A175074732?a=1&d=1,Državni zbor (23. Redna)
slovenia_23_Redna_0_26092024,https://365.rtvslo.si/embed/175074882?a=1&d=1,Državni zbor (23. Redna)
slovenia_23_Redna_1_26092024,https://365.rtvslo.si/embed/175074925?a=1&d=1,Državni zbor (23. Redna)
slovenia_82_Izredna_0_26092024,https://365.rtvslo.si/embed/175074947?a=1&d=1,Državni zbor (82. Izredna)
slovenia_23_Redna_0_27092024,https://365.rtvslo.si/embed/175075206?a=1&d=1,Državni zbor (23. Redna)
slovenia_25_Redna_0_02072024,https://365.rtvslo.si/embed/175057158?a=1&d=1,Državni zbor (25. Redna)
slovenia_22_Redna_0_08072024,https://365.rtvslo.si/embed/175058439?a=1&d=1,Državni zbor (22. Redna)
slovenia_22_Redna_0_09072024,https://365.rtvslo.si/embed/175058627?a=1&d=1,Državni zbor (22. Redna)
slovenia_22_Redna_1_09072024,https://365.rtvslo.si/embed/175058669?a=1&d=1,Državni zbor (22. Redna)
slovenia_22_Redna_2_09072024,https://365.rtvslo.si/embed/175058704?a=1&d=1,Državni zbor (22. Redna)
slovenia_22_Redna_0_10072024,https://365.rtvslo.si/embed/175058878?a=1&d=1,Državni zbor (22. Redna)
slovenia_22_Redna_1_10072024,https://365.rtvslo.si/embed/%0A175058867?a=1&d=1,Državni zbor (22. Redna)
slovenia_22_Redna_2_10072024,https://365.rtvslo.si/embed/%0A175058872?a=1&d=1,Državni zbor (22. Redna)
slovenia_76_Izredna_0_15072024,https://365.rtvslo.si/embed/175059773?a=1&d=1,Državni zbor (76. Izredna)
slovenia_76_Izredna_1_15072024,https://365.rtvslo.si/embed/175059802?a=1&d=1,Državni zbor (76. Izredna)
slovenia_76_Izredna_2_15072024,https://365.rtvslo.si/embed/175059821?a=1&d=1,Državni zbor (76. Izredna)
slovenia_77_Izredna_0_15072024,https://365.rtvslo.si/embed/175059840?a=1&d=1,Državni zbor (77. Izredna)
slovenia_73_Izredna_0_04062024,https://365.rtvslo.si/embed/175050749?a=1&d=1,Državni zbor (73. Izredna)
slovenia_74_Izredna_0_04062024,https://365.rtvslo.si/embed/175050747?a=1&d=1,Državni zbor (74. Izredna)
slovenia_1_Nujna_0_12062024,https://365.rtvslo.si/embed/175052641?a=1&d=1,Državni zbor (1. Nujna)
slovenia_24_Redna_0_13062024,https://365.rtvslo.si/embed/175052866?a=1&d=1,Državni zbor (24. Redna)
slovenia_75_Izredna_0_14062024,https://365.rtvslo.si/embed/175053132?a=1&d=1,Državni zbor (75. Izredna)
slovenia_21_Redna_0_17062024,https://365.rtvslo.si/embed/175053729?a=1&d=1,Državni zbor (21. Redna)
slovenia_21_Redna_1_17062024,https://365.rtvslo.si/embed/175053833?a=1&d=1,Državni zbor (21. Redna)
slovenia_21_Redna_0_18062024,https://365.rtvslo.si/embed/175053977?a=1&d=1,Državni zbor (21. Redna)
slovenia_21_Redna_1_18062024,https://365.rtvslo.si/embed/175054007?a=1&d=1,Državni zbor (21. Redna)
slovenia_21_Redna_2_18062024,https://365.rtvslo.si/embed/175054067?a=1&d=1,Državni zbor (21. Redna)
slovenia_21_Redna_0_19062024,https://365.rtvslo.si/embed/175054234?a=1&d=1,Državni zbor (21. Redna)
slovenia_21_Redna_1_19062024,https://365.rtvslo.si/embed/175054274?a=1&d=1,Državni zbor (21. Redna)
slovenia_21_Redna_2_19062024,https://365.rtvslo.si/embed/175054344?a=1&d=1,Državni zbor (21. Redna)
slovenia_69_Izredna_0_06052024,https://365.rtvslo.si/embed/175043736?a=1&d=1,Državni zbor (69. Izredna)
slovenia_70_Izredna_0_13052024,https://365.rtvslo.si/embed/175045474?a=1&d=1,Državni zbor (70. Izredna)
slovenia_22_Redna_0_14052024,https://365.rtvslo.si/embed/175045653?a=1&d=1,Državni zbor (22. Redna)
slovenia_23_Redna_0_16052024,https://365.rtvslo.si/embed/175046140?a=1&d=1,Državni zbor (23. Redna)
slovenia_20_Redna_0_20052024,https://365.rtvslo.si/embed/175047115?a=1&d=1,Državni zbor (20. Redna)
slovenia_20_Redna_1_20052024,https://365.rtvslo.si/embed/175047160?a=1&d=1,Državni zbor (20. Redna)
slovenia_20_Redna_0_22052024,https://365.rtvslo.si/embed/175047619?a=1&d=1,Državni zbor (20. Redna)
slovenia_20_Redna_1_22052024,https://365.rtvslo.si/embed/175047688?a=1&d=1,Državni zbor (20. Redna)
slovenia_20_Redna_2_22052024,https://365.rtvslo.si/embed/175047751?a=1&d=1,Državni zbor (20. Redna)
slovenia_20_Redna_0_23052024,https://365.rtvslo.si/embed/175047831?a=1&d=1,Državni zbor (20. Redna)
slovenia_20_Redna_1_23052024,https://365.rtvslo.si/embed/175047883?a=1&d=1,Državni zbor (20. Redna)
slovenia_71_Izredna_0_23052024,https://365.rtvslo.si/embed/175047981?a=1&d=1,Državni zbor (71. Izredna)
slovenia_71_Izredna_1_23052024,https://365.rtvslo.si/embed/175047982?a=1&d=1,Državni zbor (71. Izredna)
slovenia_18_Redna_0_02042024,https://365.rtvslo.si/embed/175034557?a=1&d=1,Državni zbor (18. Redna)
slovenia_18_Redna_1_02042024,https://365.rtvslo.si/embed/175034600?a=1&d=1,Državni zbor (18. Redna)
