video_id,mp4_video_link,title
serbia_2012_71_16102013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013100710a.mp4,наставак Прве седнице Другог редовног заседања Народне скупштине Републике Србије у 2013. години 16.10.2013.
serbia_2012_72_10102013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013100710a.mp4,наставак Прве седнице Другог редовног заседања Народне скупштине Републике Србије у 2013. години 10.10.2013. други део
serbia_2012_73_10102013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013100710a.mp4,наставак Прве седнице Другог редовног заседања Народне скупштине Републике Србије у 2013. години 10.10.2013. први део
serbia_2012_74_10102013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013100710a.mp4,Дан за гласање о тачкама дневног реда Треће седнице Другог редовног заседања Народне скупштине Републике Србије у 2013. години 10.10.2013.
serbia_2012_75_09102013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013100710a.mp4,наставак Треће седнице Другог редовног заседања Народне скупштине Републике Србије у 2013. години 09.10.2013. други део
serbia_2012_76_09102013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013100710a.mp4,наставак Треће седнице Другог редовног заседања Народне скупштине Републике Србије у 2013. години 09.10.2013. први део
serbia_2012_77_07102013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013100710a.mp4,Трећа седница Другог редовног заседања Народне скупштине Републике Србије у 2013. години 07.10.2013. други део
serbia_2012_78_07102013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013100710.mp4,Трећа седница Другог редовног заседања Народне скупштине Републике Србије у 2013. години 07.10.2013. први део
serbia_2012_79_06102013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013100610a.mp4,наставак Друге седнице Другог редовног заседања Народне скупштине Републике Србије у 2013. години 06.10.2013. - гласање
serbia_2012_80_06102013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013100410c.mp4,наставак Друге седнице Другог редовног заседања Народне скупштине Републике Србије у 2013. години 06.10.2013.
serbia_2012_81_04102013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013100410c.mp4,Друга седница Другог редовног заседања Народне скупштине Републике Србије у 2013. години 04.10.2013. трећи део
serbia_2012_82_04102013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013100410b.mp4,Друга седница Другог редовног заседања Народне скупштине Републике Србије у 2013. години 04.10.2013. други део
