transcript_id,processed_transcript_text_link,transcript_title,date,,video_id,mp4_video_link,video_title,merged_id
serbia_2016_47_17122019,https://otvoreniparlament.rs/transkript/7749,Deveta sednica Drugog redovnog zasedanja,17122019,,serbia_2016_183_17122019,http://217.26.67.44/filesnsrs/zasedanja/zas2019121710b.mp4,наставак Девете седнице Другог редовног заседања Народне скупштине Републике Србије у 2019. години 17.12.2019.,serbia_2016_47_17122019_serbia_2016_183_17122019
serbia_2016_47_17122019,https://otvoreniparlament.rs/transkript/7749,Deveta sednica Drugog redovnog zasedanja,17122019,,serbia_2016_184_17122019,http://217.26.67.44/filesnsrs/zasedanja/zas2019121710a.mp4,наставак Девете седнице Другог редовног заседања Народне скупштине Републике Србије у 2019. години 17.12.2019.,serbia_2016_47_17122019_serbia_2016_184_17122019
serbia_2016_47_17122019,https://otvoreniparlament.rs/transkript/7749,Deveta sednica Drugog redovnog zasedanja,17122019,,serbia_2016_185_17122019,http://217.26.67.44/filesnsrs/zasedanja/zas2019121710.mp4,наставак Девете седнице Другог редовног заседања Народне скупштине Републике Србије у 2019. години 17.12.2019.,serbia_2016_47_17122019_serbia_2016_185_17122019
serbia_2016_48_16122019,https://otvoreniparlament.rs/transkript/7748,Deveta sednica Drugog redovnog zasedanja,16122019,,serbia_2016_186_16122019,http://217.26.67.44/filesnsrs/zasedanja/zas2019121610c.mp4,Девета седница Другог редовног заседања Народне скупштине Републике Србије у 2019. години 16.12.2019.,serbia_2016_48_16122019_serbia_2016_186_16122019
serbia_2016_48_16122019,https://otvoreniparlament.rs/transkript/7748,Deveta sednica Drugog redovnog zasedanja,16122019,,serbia_2016_187_16122019,http://217.26.67.44/filesnsrs/zasedanja/zas2019121610b.mp4,Девета седница Другог редовног заседања Народне скупштине Републике Србије у 2019. години 16.12.2019.,serbia_2016_48_16122019_serbia_2016_187_16122019
serbia_2016_48_16122019,https://otvoreniparlament.rs/transkript/7748,Deveta sednica Drugog redovnog zasedanja,16122019,,serbia_2016_188_16122019,http://217.26.67.44/filesnsrs/zasedanja/zas2019121610a.mp4,Девета седница Другог редовног заседања Народне скупштине Републике Србије у 2019. години 16.12.2019.,serbia_2016_48_16122019_serbia_2016_188_16122019
serbia_2016_48_16122019,https://otvoreniparlament.rs/transkript/7748,Deveta sednica Drugog redovnog zasedanja,16122019,,serbia_2016_189_16122019,http://217.26.67.44/filesnsrs/zasedanja/zas2019121610.mp4,Девета седница Другог редовног заседања Народне скупштине Републике Србије у 2019. години 16.12.2019.,serbia_2016_48_16122019_serbia_2016_189_16122019
serbia_2016_49_13122019,https://otvoreniparlament.rs/transkript/7747,Osma sednica Drugog redovnog zasedanja,13122019,,serbia_2016_190_13122019,http://217.26.67.44/filesnsrs/zasedanja/zas2019121310.mp4,Дан за гласање о тачкама 2. до 6. дневног реда Осме седнице Другог редовног заседања Народне скупштине Републике Србије у 2019. години 13.12.2019.,serbia_2016_49_13122019_serbia_2016_190_13122019
serbia_2016_50_12122019,https://otvoreniparlament.rs/transkript/7746,Osma sednica Drugog redovnog zasedanja,12122019,,serbia_2016_191_12122019,http://217.26.67.44/filesnsrs/zasedanja/zas2019121210d.mp4,наставак Осме седнице Другог редовног заседања Народне скупштине Републике Србије у 2019. години 12.12.2019.,serbia_2016_50_12122019_serbia_2016_191_12122019
serbia_2016_50_12122019,https://otvoreniparlament.rs/transkript/7746,Osma sednica Drugog redovnog zasedanja,12122019,,serbia_2016_192_12122019,http://217.26.67.44/filesnsrs/zasedanja/zas2019121210c.mp4,наставак Осме седнице Другог редовног заседања Народне скупштине Републике Србије у 2019. години 12.12.2019.,serbia_2016_50_12122019_serbia_2016_192_12122019
serbia_2016_50_12122019,https://otvoreniparlament.rs/transkript/7746,Osma sednica Drugog redovnog zasedanja,12122019,,serbia_2016_193_12122019,http://217.26.67.44/filesnsrs/zasedanja/zas2019121210b.mp4,наставак Осме седнице Другог редовног заседања Народне скупштине Републике Србије у 2019. години 12.12.2019.,serbia_2016_50_12122019_serbia_2016_193_12122019
serbia_2016_50_12122019,https://otvoreniparlament.rs/transkript/7746,Osma sednica Drugog redovnog zasedanja,12122019,,serbia_2016_194_12122019,http://217.26.67.44/filesnsrs/zasedanja/zas2019121210a.mp4,наставак Осме седнице Другог редовног заседања Народне скупштине Републике Србије у 2019. години 12.12.2019.,serbia_2016_50_12122019_serbia_2016_194_12122019
serbia_2016_50_12122019,https://otvoreniparlament.rs/transkript/7746,Osma sednica Drugog redovnog zasedanja,12122019,,serbia_2016_195_12122019,http://217.26.67.44/filesnsrs/zasedanja/zas2019121210.mp4,наставак Осме седнице Другог редовног заседања Народне скупштине Републике Србије у 2019. години 12.12.2019.,serbia_2016_50_12122019_serbia_2016_195_12122019
serbia_2016_51_11122019,https://otvoreniparlament.rs/transkript/7745,Osma sednica Drugog redovnog zasedanja,11122019,,serbia_2016_196_11122019,http://217.26.67.44/filesnsrs/zasedanja/zas2019121110c.mp4,наставак Осме седнице Другог редовног заседања Народне скупштине Републике Србије у 2019. години 11.12.2019.,serbia_2016_51_11122019_serbia_2016_196_11122019
serbia_2016_51_11122019,https://otvoreniparlament.rs/transkript/7745,Osma sednica Drugog redovnog zasedanja,11122019,,serbia_2016_197_11122019,http://217.26.67.44/filesnsrs/zasedanja/zas2019121110b.mp4,наставак Осме седнице Другог редовног заседања Народне скупштине Републике Србије у 2019. години 11.12.2019.,serbia_2016_51_11122019_serbia_2016_197_11122019
serbia_2016_51_11122019,https://otvoreniparlament.rs/transkript/7745,Osma sednica Drugog redovnog zasedanja,11122019,,serbia_2016_198_11122019,http://217.26.67.44/filesnsrs/zasedanja/zas2019121110a.mp4,наставак Осме седнице Другог редовног заседања Народне скупштине Републике Србије у 2019. години 11.12.2019.,serbia_2016_51_11122019_serbia_2016_198_11122019
serbia_2016_51_11122019,https://otvoreniparlament.rs/transkript/7745,Osma sednica Drugog redovnog zasedanja,11122019,,serbia_2016_199_11122019,http://217.26.67.44/filesnsrs/zasedanja/zas2019121110.mp4,наставак Осме седнице Другог редовног заседања Народне скупштине Републике Србије у 2019. години 11.12.2019.,serbia_2016_51_11122019_serbia_2016_199_11122019
serbia_2016_52_10122019,https://otvoreniparlament.rs/transkript/7744,Osma sednica Drugog redovnog zasedanja,10122019,,serbia_2016_200_10122019,http://217.26.67.44/filesnsrs/zasedanja/zas2019121010c.mp4,наставак Осме седнице Другог редовног заседања Народне скупштине Републике Србије у 2019. години 10.12.2019.,serbia_2016_52_10122019_serbia_2016_200_10122019
