link,title,date,mp4_links,514_mp4_truncated,srt_link
https://www.bundestag.de/mediathek?videoid=7551145#url=L21lZGlhdGhla292ZXJsYXk=&mod=mod536668,"1. März 2023 
Experten kritisieren geplante Verschärfung von Emissions-Vorgaben 1. März 2023",2023-03-01,"['https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7551145/7551145_h264_1920_1080_5000kb_baseline_de_5000.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7551145/7551145_h264_720_400_2000kb_baseline_de_2192.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7551145/7551145_h264_512_288_514kb_baseline_de_514.mp4?fdl=1']",https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7551145/7551145_h264_512_288_514kb_baseline_de_514.mp4,https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7551145/7551145.srt
https://www.bundestag.de/mediathek?videoid=2177244#url=L21lZGlhdGhla292ZXJsYXk=&mod=mod536668,"18. Februar 2013 
Appell zur Reduzierung des Ressourcenverbrauchs 18. Februar 2013",2013-02-18,"['https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/2177244/2177244_h264_720_400_2000kb_baseline_de_2192.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/2177244/2177244_h264_512_288_514kb_baseline_de_514.mp4?fdl=1']",https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/2177244/2177244_h264_512_288_514kb_baseline_de_514.mp4,
https://www.bundestag.de/mediathek?videoid=808681#url=L21lZGlhdGhla292ZXJsYXk=&mod=mod536668,"6. Oktober 2010 
Restrukturierung von Kreditinstituten 6. Oktober 2010",2010-10-06,"['https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/808681/808681_h264_720_400_2000kb_de_2192.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/808681/808681_h264_512_288_514kb_de_514.mp4?fdl=1']",https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/808681/808681_h264_512_288_514kb_de_514.mp4,
https://www.bundestag.de/mediathek?videoid=7511663#url=L21lZGlhdGhla292ZXJsYXk=&mod=mod536668,"14. April 2021 
Anhörung zur weltweiten Lage der Religionsfreiheit 14. April 2021",2021-04-14,"['https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7511663/7511663_h264_1920_1080_5000kb_baseline_de_5000.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7511663/7511663_h264_720_400_2000kb_baseline_de_2192.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7511663/7511663_h264_512_288_514kb_baseline_de_514.mp4?fdl=1']",https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7511663/7511663_h264_512_288_514kb_baseline_de_514.mp4,https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7511663/7511663.srt
https://www.bundestag.de/mediathek?videoid=7613535#url=L21lZGlhdGhla292ZXJsYXk=&mod=mod536668,"3. Juli 2024 
Sachverständige: Nachhaltige Mobilität bei Urlaubsreisen steigern 3. Juli 2024",2024-07-03,"['https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7613535/7613535_h264_1920_1080_5000kb_baseline_de_5000.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7613535/7613535_h264_720_400_2000kb_baseline_de_2192.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7613535/7613535_h264_512_288_514kb_baseline_de_514.mp4?fdl=1']",https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7613535/7613535_h264_512_288_514kb_baseline_de_514.mp4,https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7613535/7613535.srt
https://www.bundestag.de/mediathek?videoid=6245073#url=L21lZGlhdGhla292ZXJsYXk=&mod=mod536668,"2. Dezember 2015 
Restitutionsgesetz wird skeptisch beurteilt 2. Dezember 2015",2015-12-02,"['https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/6245073/6245073_h264_720_400_2000kb_baseline_de_2192.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/6245073/6245073_h264_512_288_514kb_baseline_de_514.mp4?fdl=1']",https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/6245073/6245073_h264_512_288_514kb_baseline_de_514.mp4,
https://www.bundestag.de/mediathek?videoid=7557210#url=L21lZGlhdGhla292ZXJsYXk=&mod=mod536668,"20. September 2023 
52. Sitzung des Bildungsausschusses 20. September 2023",2023-09-20,"['https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7557210/7557210_h264_1920_1080_5000kb_baseline_de_5000.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7557210/7557210_h264_720_400_2000kb_baseline_de_2192.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7557210/7557210_h264_512_288_514kb_baseline_de_514.mp4?fdl=1']",https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7557210/7557210_h264_512_288_514kb_baseline_de_514.mp4,https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7557210/7557210.srt
https://www.bundestag.de/mediathek?videoid=7612124#url=L21lZGlhdGhla292ZXJsYXk=&mod=mod536668,"12. Juni 2024 
Expertenkritik an vertraulichen Erstattungsbeträgen 12. Juni 2024",2024-06-12,"['https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7612124/7612124_h264_1920_1080_5000kb_baseline_de_5000.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7612124/7612124_h264_720_400_2000kb_baseline_de_2192.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7612124/7612124_h264_512_288_514kb_baseline_de_514.mp4?fdl=1']",https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7612124/7612124_h264_512_288_514kb_baseline_de_514.mp4,https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7612124/7612124.srt
https://www.bundestag.de/mediathek?videoid=7015517#url=L21lZGlhdGhla292ZXJsYXk=&mod=mod536668,"19. Oktober 2016 
Expertin: Klimaschutz birgt großes Potenzial für mehr Arbeitskräfte 19. Oktober 2016",2016-10-19,"['https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7015517/7015517_h264_1920_1080_5000kb_baseline_de_5000.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7015517/7015517_h264_720_400_2000kb_baseline_de_2192.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7015517/7015517_h264_512_288_514kb_baseline_de_514.mp4?fdl=1']",https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7015517/7015517_h264_512_288_514kb_baseline_de_514.mp4,
https://www.bundestag.de/mediathek?videoid=604460#url=L21lZGlhdGhla292ZXJsYXk=&mod=mod536668,"5. Mai 2010 
Božidar Đelić zu Gast 5. Mai 2010",2010-05-05,"['https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/604460/604460_h264_720_400_2000kb_de_2192.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/604460/604460_h264_512_288_514kb_de_514.mp4?fdl=1']",https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/604460/604460_h264_512_288_514kb_de_514.mp4,
