transcript_id,doc_link,docx_link,title
lithuania_2020_eilinė_8_109_19032024,,https://e-seimas.lrs.lt/rs/legalact/TAK/be2d4220e68511ee9fdedfc979ae62a9/format/MSO2010_DOCX/,Seimo vakarinis posėdis Nr. 351 (2024-03-19)
lithuania_2020_eilinė_8_110_14032024,,https://e-seimas.lrs.lt/rs/legalact/TAK/dc2769c0e22211eeb876b07461d0ecb9/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 348 (2024-03-14)
lithuania_2020_eilinė_8_111_14032024,,https://e-seimas.lrs.lt/rs/legalact/TAK/f5c876d0e2a911eeb876b07461d0ecb9/format/MSO2010_DOCX/,Seimo vakarinis posėdis Nr. 349 (2024-03-14)
lithuania_2020_eilinė_8_112_12032024,,https://e-seimas.lrs.lt/rs/legalact/TAK/7eeedc80e09b11eeb876b07461d0ecb9/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 346 (2024-03-12)
lithuania_2020_eilinė_8_113_12032024,,https://e-seimas.lrs.lt/rs/legalact/TAK/156c5c00e0a611eeb876b07461d0ecb9/format/MSO2010_DOCX/,Seimo vakarinis posėdis Nr. 347 (2024-03-12)
lithuania_2020_eilinė_8_114_10032024,,https://e-seimas.lrs.lt/rs/legalact/TAK/8277dd50df0811eeb876b07461d0ecb9/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 345 (2024-03-10)
lithuania_2020_neeilinė_7_115_15022024,,https://e-seimas.lrs.lt/rs/legalact/TAK/d8975b70cbf811ee9269b566387cfecb/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 344 (2024-02-15)
lithuania_2020_neeilinė_7_116_14022024,,https://e-seimas.lrs.lt/rs/legalact/TAK/bd3a89e0cb4b11ee9269b566387cfecb/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 343 (2024-02-14)
lithuania_2020_neeilinė_7_117_12022024,,https://e-seimas.lrs.lt/rs/legalact/TAK/6e37a1e0c9b411ee9269b566387cfecb/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 342 (2024-02-12)
lithuania_2020_eilinė_7_118_23122023,,https://e-seimas.lrs.lt/rs/legalact/TAK/f1fb5fd0a19b11ee8172b53a675305ab/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 341 (2023-12-23)
lithuania_2020_eilinė_7_119_21122023,,https://e-seimas.lrs.lt/rs/legalact/TAK/67c0ff50a00b11ee8172b53a675305ab/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 339 (2023-12-21)
lithuania_2020_eilinė_7_120_21122023,,https://e-seimas.lrs.lt/rs/legalact/TAK/9d7572b0a04d11ee8172b53a675305ab/format/MSO2010_DOCX/,Seimo vakarinis posėdis Nr. 340 (2023-12-21)
lithuania_2020_eilinė_7_121_19122023,,https://e-seimas.lrs.lt/rs/legalact/TAK/704940909e8211ee8172b53a675305ab/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 337 (2023-12-19)
lithuania_2020_eilinė_7_122_19122023,,https://e-seimas.lrs.lt/rs/legalact/TAK/df4815f09f1f11ee8172b53a675305ab/format/MSO2010_DOCX/,Seimo vakarinis posėdis Nr. 338 (2023-12-19)
