transcript_id,doc_link,docx_link,transcript_title,date,video_id,mp3_link,video_title,merged_id
lithuania_1996_eilinė_5_3103_22101998,,https://e-seimas.lrs.lt/rs/legalact/TAK/TAIS.66106/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 247 (1998-10-22),22101998,lithuania_12_22101998,https://renginiai.lrs.lt/renginiai/LT/_layouts/Act/ESeimasMedia/GetObject.ashx?id=DAE844EE-3F72-44FC-A882-34AE8EE8CE07,,lithuania_1996_eilinė_5_3103_22101998_lithuania_12_22101998
lithuania_1996_eilinė_5_3103_22101998,,https://e-seimas.lrs.lt/rs/legalact/TAK/TAIS.66106/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 247 (1998-10-22),22101998,lithuania_13_22101998,https://renginiai.lrs.lt/renginiai/LT/_layouts/Act/ESeimasMedia/GetObject.ashx?id=3A18D4E6-299F-41E7-9B6A-EF246D408320,,lithuania_1996_eilinė_5_3103_22101998_lithuania_13_22101998
lithuania_1996_eilinė_5_3104_22101998,,https://e-seimas.lrs.lt/rs/legalact/TAK/TAIS.66107/format/MSO2010_DOCX/,Seimo vakarinis posėdis Nr. 248 (1998-10-22),22101998,lithuania_12_22101998,https://renginiai.lrs.lt/renginiai/LT/_layouts/Act/ESeimasMedia/GetObject.ashx?id=DAE844EE-3F72-44FC-A882-34AE8EE8CE07,,lithuania_1996_eilinė_5_3104_22101998_lithuania_12_22101998
lithuania_1996_eilinė_5_3104_22101998,,https://e-seimas.lrs.lt/rs/legalact/TAK/TAIS.66107/format/MSO2010_DOCX/,Seimo vakarinis posėdis Nr. 248 (1998-10-22),22101998,lithuania_13_22101998,https://renginiai.lrs.lt/renginiai/LT/_layouts/Act/ESeimasMedia/GetObject.ashx?id=3A18D4E6-299F-41E7-9B6A-EF246D408320,,lithuania_1996_eilinė_5_3104_22101998_lithuania_13_22101998
lithuania_1996_eilinė_5_3105_20101998,,https://e-seimas.lrs.lt/rs/legalact/TAK/TAIS.65814/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 245 (1998-10-20),20101998,lithuania_14_20101998,https://renginiai.lrs.lt/renginiai/LT/_layouts/Act/ESeimasMedia/GetObject.ashx?id=4B2E3524-08A7-4ED9-BB40-CBCBC8436F32,,lithuania_1996_eilinė_5_3105_20101998_lithuania_14_20101998
lithuania_1996_eilinė_5_3105_20101998,,https://e-seimas.lrs.lt/rs/legalact/TAK/TAIS.65814/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 245 (1998-10-20),20101998,lithuania_15_20101998,https://renginiai.lrs.lt/renginiai/LT/_layouts/Act/ESeimasMedia/GetObject.ashx?id=4B26B1FE-D2C4-45AE-A38C-5D857F03FCE0,,lithuania_1996_eilinė_5_3105_20101998_lithuania_15_20101998
lithuania_1996_eilinė_5_3106_20101998,,https://e-seimas.lrs.lt/rs/legalact/TAK/TAIS.65889/format/MSO2010_DOCX/,Seimo vakarinis posėdis Nr. 246 (1998-10-20),20101998,lithuania_14_20101998,https://renginiai.lrs.lt/renginiai/LT/_layouts/Act/ESeimasMedia/GetObject.ashx?id=4B2E3524-08A7-4ED9-BB40-CBCBC8436F32,,lithuania_1996_eilinė_5_3106_20101998_lithuania_14_20101998
lithuania_1996_eilinė_5_3106_20101998,,https://e-seimas.lrs.lt/rs/legalact/TAK/TAIS.65889/format/MSO2010_DOCX/,Seimo vakarinis posėdis Nr. 246 (1998-10-20),20101998,lithuania_15_20101998,https://renginiai.lrs.lt/renginiai/LT/_layouts/Act/ESeimasMedia/GetObject.ashx?id=4B26B1FE-D2C4-45AE-A38C-5D857F03FCE0,,lithuania_1996_eilinė_5_3106_20101998_lithuania_15_20101998
lithuania_1996_eilinė_5_3107_15101998,,https://e-seimas.lrs.lt/rs/legalact/TAK/TAIS.65807/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 243 (1998-10-15),15101998,lithuania_16_15101998,https://renginiai.lrs.lt/renginiai/LT/_layouts/Act/ESeimasMedia/GetObject.ashx?id=2FC22CAA-A288-4F5F-9BAF-31A229BD3DFA,,lithuania_1996_eilinė_5_3107_15101998_lithuania_16_15101998
lithuania_1996_eilinė_5_3107_15101998,,https://e-seimas.lrs.lt/rs/legalact/TAK/TAIS.65807/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 243 (1998-10-15),15101998,lithuania_17_15101998,https://renginiai.lrs.lt/renginiai/LT/_layouts/Act/ESeimasMedia/GetObject.ashx?id=920A8AAE-4758-4942-B737-98CF0DBAB049,,lithuania_1996_eilinė_5_3107_15101998_lithuania_17_15101998
