label,date,title,session_number,detail_link
ASSEMBLEA,2014-01-30T16:00:00Z,Seduta di Assemblea n. 180,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-180
ASSEMBLEA,2014-01-30T10:30:00Z,Seduta di Assemblea n. 179,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-179
ASSEMBLEA,2014-01-29T17:00:00Z,Seduta di Assemblea n. 178,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-178
ASSEMBLEA,2014-01-29T10:30:00Z,Seduta di Assemblea n. 177,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-177
ASSEMBLEA,2014-01-28T13:00:00Z,Seduta di Assemblea n. 176,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-176
ASSEMBLEA,2014-01-23T17:00:00Z,Seduta di Assemblea n. 175,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-175
ASSEMBLEA,2014-01-23T10:30:00Z,Seduta di Assemblea n. 174,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-174
ASSEMBLEA,2014-01-22T17:30:00Z,Seduta di Assemblea n. 173,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-173
ASSEMBLEA,2014-01-22T10:30:00Z,Seduta di Assemblea n. 172,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-172
ASSEMBLEA,2014-01-21T17:30:00Z,Seduta di Assemblea n. 171,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-171
ASSEMBLEA,2014-01-21T10:00:00Z,Seduta di Assemblea n. 170,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-170
ASSEMBLEA,2014-01-16T17:00:00Z,Seduta di Assemblea n. 169,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-169
ASSEMBLEA,2014-01-16T10:30:00Z,Seduta di Assemblea n. 168,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-168
ASSEMBLEA,2014-01-15T17:30:00Z,Seduta di Assemblea n. 167,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-167
ASSEMBLEA,2014-01-15T10:30:00Z,Seduta di Assemblea n. 166,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-166
ASSEMBLEA,2014-01-14T17:30:00Z,Seduta di Assemblea n. 165,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-165
ASSEMBLEA,2014-01-14T12:00:00Z,Seduta di Assemblea n. 164,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-164
ASSEMBLEA,2014-01-09T10:00:00Z,Seduta di Assemblea n. 163,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-163
ASSEMBLEA,2014-01-08T17:30:00Z,Seduta di Assemblea n. 162,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-162
ASSEMBLEA,2014-01-08T10:30:00Z,Seduta di Assemblea n. 161,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-161
ASSEMBLEA,2014-01-07T18:00:00Z,Seduta di Assemblea n. 160,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-160
ASSEMBLEA,2014-01-02T17:00:00Z,Seduta di Assemblea n. 159,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-159
ASSEMBLEA,2013-12-28T12:00:00Z,Seduta di Assemblea n. 158,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-158
ASSEMBLEA,2013-12-23T13:00:00Z,Seduta di Assemblea n. 157,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-157
ASSEMBLEA,2013-12-19T10:00:00Z,Seduta di Assemblea n. 156,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-156
ASSEMBLEA,2013-12-18T17:30:00Z,Seduta di Assemblea n.,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-0
ASSEMBLEA,2013-12-18T10:30:00Z,Seduta di Assemblea n.,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n
ASSEMBLEA,2013-12-17T17:30:00Z,Seduta di Assemblea n. 153,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-153
ASSEMBLEA,2013-12-12T17:00:00Z,Seduta di Assemblea n.,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-2
ASSEMBLEA,2013-12-12T10:30:00Z,Seduta di Assemblea n.,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-1
ASSEMBLEA,2013-12-11T17:00:00Z,Seduta di Assemblea n. 150,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-150
ASSEMBLEA,2013-12-11T10:30:00Z,Seduta di Assemblea n. 149,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-149
ASSEMBLEA,2013-12-10T17:30:00Z,Seduta di Assemblea n. 148,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-148
ASSEMBLEA,2013-12-05T16:00:00Z,Seduta di Assemblea n. 148,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-148-0
ASSEMBLEA,2013-12-05T10:30:00Z,Seduta di Assemblea n. 147,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-147
ASSEMBLEA,2013-12-04T10:30:00Z,Seduta di Assemblea n.,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-3
ASSEMBLEA,2013-12-03T17:30:00Z,Seduta di Assemblea n.,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-4
ASSEMBLEA,2013-11-28T17:00:00Z,Seduta di Assemblea n. 144,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-144
ASSEMBLEA,2013-11-28T10:30:00Z,Seduta di Assemblea n. 143,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-143
ASSEMBLEA,2013-11-27T10:00:00Z,Seduta di Assemblea n.,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-5
