transcript_id,pdf_link,location_link,location_x,txt_link,key,video_id,generic_video_link,location_y
uk_1_12022014,,https://hansard.parliament.uk/html/commons/2014-02-12/WestminsterHall,WestminsterHall,https://hansard.parliament.uk/debates/GetDebateAsText/ad5794c4-7489-4866-ac7b-0e67ca05b02a,12022014_Westminster,uk_15_12022014,https://www.parliamentlive.tv/Event/Index/08bce09a-6298-434d-95e2-ac55e7ed9f85,Westminster Hall
uk_0_13022014,,https://hansard.parliament.uk/html/commons/2014-02-13/CommonsChamber,CommonsChamber,https://hansard.parliament.uk/debates/GetDebateAsText/dd49b150-beb1-4518-9d64-2a98cfd5103e,13022014_Commons,uk_12_13022014,https://www.parliamentlive.tv/Event/Index/5dc9a530-7801-4501-8c1d-ef84b3329051,House of Commons
uk_1_13022014,,https://hansard.parliament.uk/html/commons/2014-02-13/WestminsterHall,WestminsterHall,https://hansard.parliament.uk/debates/GetDebateAsText/8ba95eda-734f-43ae-b2ef-4eff22207c50,13022014_Westminster,uk_11_13022014,https://www.parliamentlive.tv/Event/Index/e0c584ca-1edb-4dbf-bf9b-6874d4ead74c,Westminster Hall
uk_0_24022014,,https://hansard.parliament.uk/html/commons/2014-02-24/CommonsChamber,CommonsChamber,https://hansard.parliament.uk/debates/GetDebateAsText/f2a36e05-731c-4f8f-a4fd-cd50b159f3d4,24022014_Commons,uk_10_24022014,https://www.parliamentlive.tv/Event/Index/2341926d-f325-406b-9144-6c089a508a1b,House of Commons
uk_1_24022014,,https://hansard.parliament.uk/html/commons/2014-02-24/WestminsterHall,WestminsterHall,https://hansard.parliament.uk/debates/GetDebateAsText/bd0ff58f-951d-4483-91f7-d8b3e3746b82,24022014_Westminster,uk_9_24022014,https://www.parliamentlive.tv/Event/Index/d97abba4-040e-476b-b918-748637c2e285,Westminster Hall
uk_0_25022014,,https://hansard.parliament.uk/html/commons/2014-02-25/CommonsChamber,CommonsChamber,https://hansard.parliament.uk/debates/GetDebateAsText/e26ea173-1e2f-4761-ac94-66afba23e8a5,25022014_Commons,uk_7_25022014,https://www.parliamentlive.tv/Event/Index/420ddd2f-006d-4f5e-91ed-cefe3171f28d,House of Commons
uk_1_25022014,,https://hansard.parliament.uk/html/commons/2014-02-25/WestminsterHall,WestminsterHall,https://hansard.parliament.uk/debates/GetDebateAsText/422dd590-8bee-4e02-9b1b-377d2ee1c443,25022014_Westminster,uk_6_25022014,https://www.parliamentlive.tv/Event/Index/86ef7caa-e38f-476a-93ce-e994e5e583b2,Westminster Hall
uk_1_25022014,,https://hansard.parliament.uk/html/commons/2014-02-25/WestminsterHall,WestminsterHall,https://hansard.parliament.uk/debates/GetDebateAsText/422dd590-8bee-4e02-9b1b-377d2ee1c443,25022014_Westminster,uk_8_25022014,https://www.parliamentlive.tv/Event/Index/67fb3698-80a4-4924-a06d-c8ca99510dce,Westminster Hall
uk_0_26022014,,https://hansard.parliament.uk/html/commons/2014-02-26/CommonsChamber,CommonsChamber,https://hansard.parliament.uk/debates/GetDebateAsText/cc0011fe-3422-4c9f-84cf-ce2e448f8043,26022014_Commons,uk_4_26022014,https://www.parliamentlive.tv/Event/Index/f2f46bbf-7206-4a8c-ba02-330e302c7fa0,House of Commons
uk_1_26022014,,https://hansard.parliament.uk/html/commons/2014-02-26/WestminsterHall,WestminsterHall,https://hansard.parliament.uk/debates/GetDebateAsText/28f39be2-84c9-4b2b-b4ba-c1b8f82b0c6a,26022014_Westminster,uk_3_26022014,https://www.parliamentlive.tv/Event/Index/1e914277-1b1e-4d20-8138-d430fa437d31,Westminster Hall
uk_1_26022014,,https://hansard.parliament.uk/html/commons/2014-02-26/WestminsterHall,WestminsterHall,https://hansard.parliament.uk/debates/GetDebateAsText/28f39be2-84c9-4b2b-b4ba-c1b8f82b0c6a,26022014_Westminster,uk_5_26022014,https://www.parliamentlive.tv/Event/Index/a2717ee0-bee0-4039-9df3-e0483e6e0c14,Westminster Hall
uk_0_27022014,,https://hansard.parliament.uk/html/commons/2014-02-27/CommonsChamber,CommonsChamber,https://hansard.parliament.uk/debates/GetDebateAsText/a617645c-3dfe-46ba-8a24-de820a2e88f5,27022014_Commons,uk_2_27022014,https://www.parliamentlive.tv/Event/Index/3661f466-0ed4-4674-992b-98416735108a,House of Commons
uk_1_27022014,,https://hansard.parliament.uk/html/commons/2014-02-27/WestminsterHall,WestminsterHall,https://hansard.parliament.uk/debates/GetDebateAsText/f0a2d394-0a1d-4056-8258-f4143de70822,27022014_Westminster,uk_1_27022014,https://www.parliamentlive.tv/Event/Index/9a5febab-4a05-4bea-bf39-73242e254841,Westminster Hall
uk_0_28022014,,https://hansard.parliament.uk/html/commons/2014-02-28/CommonsChamber,CommonsChamber,https://hansard.parliament.uk/debates/GetDebateAsText/98003f8c-87aa-4189-a66a-18cc89ef8c4d,28022014_Commons,uk_0_28022014,https://www.parliamentlive.tv/Event/Index/f845eca4-5735-4858-bb49-695d7432bf16,House of Commons
uk_0_03032014,,https://hansard.parliament.uk/html/commons/2014-03-03/CommonsChamber,CommonsChamber,https://hansard.parliament.uk/debates/GetDebateAsText/62abc36b-988c-4d44-83cc-4eb74f4f9fb6,03032014_Commons,uk_37_03032014,https://www.parliamentlive.tv/Event/Index/20938eb2-1017-47af-9219-5483db65fb6a,House of Commons
uk_0_04032014,,https://hansard.parliament.uk/html/commons/2014-03-04/CommonsChamber,CommonsChamber,https://hansard.parliament.uk/debates/GetDebateAsText/4e389b5f-2717-4ffb-a9e4-c38291f8e0d1,04032014_Commons,uk_35_04032014,https://www.parliamentlive.tv/Event/Index/63715210-386f-4299-8d30-841a2c74b638,House of Commons
uk_1_04032014,,https://hansard.parliament.uk/html/commons/2014-03-04/WestminsterHall,WestminsterHall,https://hansard.parliament.uk/debates/GetDebateAsText/c38cee72-4c2b-461f-bd7a-d403bdf81093,04032014_Westminster,uk_34_04032014,https://www.parliamentlive.tv/Event/Index/cfe2d2cd-7e82-45b1-9af0-064b141b1ba6,Westminster Hall
uk_1_04032014,,https://hansard.parliament.uk/html/commons/2014-03-04/WestminsterHall,WestminsterHall,https://hansard.parliament.uk/debates/GetDebateAsText/c38cee72-4c2b-461f-bd7a-d403bdf81093,04032014_Westminster,uk_36_04032014,https://www.parliamentlive.tv/Event/Index/6739ba4c-3600-483c-a7b2-ebc48c89267e,Westminster Hall
uk_0_05032014,,https://hansard.parliament.uk/html/commons/2014-03-05/CommonsChamber,CommonsChamber,https://hansard.parliament.uk/debates/GetDebateAsText/c6babe59-e59c-451f-8ab0-2e2cfa7d3fef,05032014_Commons,uk_32_05032014,https://www.parliamentlive.tv/Event/Index/f53a4e43-0af2-42e8-830e-ae8e4711d69e,House of Commons
uk_1_05032014,,https://hansard.parliament.uk/html/commons/2014-03-05/WestminsterHall,WestminsterHall,https://hansard.parliament.uk/debates/GetDebateAsText/fcd7c42b-82d8-46c5-bbf4-0422ef0dcc12,05032014_Westminster,uk_31_05032014,https://www.parliamentlive.tv/Event/Index/6d66fbfb-12e5-471f-b691-39c65428608b,Westminster Hall
uk_1_05032014,,https://hansard.parliament.uk/html/commons/2014-03-05/WestminsterHall,WestminsterHall,https://hansard.parliament.uk/debates/GetDebateAsText/fcd7c42b-82d8-46c5-bbf4-0422ef0dcc12,05032014_Westminster,uk_33_05032014,https://www.parliamentlive.tv/Event/Index/8ad38002-65b5-462e-b3af-d776217af882,Westminster Hall
uk_0_06032014,,https://hansard.parliament.uk/html/commons/2014-03-06/CommonsChamber,CommonsChamber,https://hansard.parliament.uk/debates/GetDebateAsText/00a922db-2c68-46be-9c7b-1281e565d47d,06032014_Commons,uk_30_06032014,https://www.parliamentlive.tv/Event/Index/62c011a8-f93d-4ac0-baea-44e87f38c41f,House of Commons
uk_1_06032014,,https://hansard.parliament.uk/html/commons/2014-03-06/WestminsterHall,WestminsterHall,https://hansard.parliament.uk/debates/GetDebateAsText/f7541ef6-87f2-4726-8576-4261bf033adf,06032014_Westminster,uk_29_06032014,https://www.parliamentlive.tv/Event/Index/f9657110-16c1-4473-b74b-b60190613bf2,Westminster Hall
uk_0_10032014,,https://hansard.parliament.uk/html/commons/2014-03-10/CommonsChamber,CommonsChamber,https://hansard.parliament.uk/debates/GetDebateAsText/1efddfbe-473c-487b-867b-6ed39dc716d9,10032014_Commons,uk_28_10032014,https://www.parliamentlive.tv/Event/Index/0c2dea1a-1230-4e0d-861b-5430757a06d3,House of Commons
uk_1_10032014,,https://hansard.parliament.uk/html/commons/2014-03-10/WestminsterHall,WestminsterHall,https://hansard.parliament.uk/debates/GetDebateAsText/89e0ff47-1848-40e2-9eeb-6636cedc977f,10032014_Westminster,uk_27_10032014,https://www.parliamentlive.tv/Event/Index/6ccbc18e-af21-474f-8b28-fb80a2a0f3b4,Westminster Hall
uk_0_11032014,,https://hansard.parliament.uk/html/commons/2014-03-11/CommonsChamber,CommonsChamber,https://hansard.parliament.uk/debates/GetDebateAsText/70cfc92d-abba-44de-be35-1fcad920adf0,11032014_Commons,uk_25_11032014,https://www.parliamentlive.tv/Event/Index/805aed0a-28cb-47c5-8a80-cc084417ee3d,House of Commons
uk_1_11032014,,https://hansard.parliament.uk/html/commons/2014-03-11/WestminsterHall,WestminsterHall,https://hansard.parliament.uk/debates/GetDebateAsText/e9b1c5e5-69af-4ad2-8321-a1f2e7259fa8,11032014_Westminster,uk_24_11032014,https://www.parliamentlive.tv/Event/Index/5295ef4e-7df1-4169-8bc8-38ba18e12f2a,Westminster Hall
