transcript_link,date,youtube_link
/et/202202151000,2022-02-15 10:00:00,https://www.youtube.com/watch?v=IEv9z5y_apc
/et/202202161200,2022-02-16 12:00:00,https://www.youtube.com/watch?v=Ot0SvQj_GwI
/et/202202161400,2022-02-16 14:00:00,https://www.youtube.com/watch?v=7-yeH41tj2s
/et/202202171000,2022-02-17 10:00:00,https://www.youtube.com/watch?v=aCWUJ7uO-YM
/et/202202211500,2022-02-21 15:00:00,https://www.youtube.com/watch?v=h1gX8Yz4pAk
/et/202202221000,2022-02-22 10:00:00,https://www.youtube.com/watch?v=qnrtqwZiPUk
/et/202202231200,2022-02-23 12:00:00,https://www.youtube.com/watch?v=pU4OMOR8MNM
/et/202202231400,2022-02-23 14:00:00,https://www.youtube.com/watch?v=ADUQxwQMuFQ
/et/202202231922,2022-02-23 19:22:00,https://www.youtube.com/watch?v=E4kIyK0ZRoc
/et/202203011000,2022-03-01 10:00:00,https://www.youtube.com/watch?v=2ztBc5LGlHs
/et/202203071500,2022-03-07 15:00:00,https://www.youtube.com/watch?v=u-sJuILp5d0
/et/202203081000,2022-03-08 10:00:00,https://www.youtube.com/watch?v=7pT4fdyMhjA
/et/202203091200,2022-03-09 12:00:00,https://www.youtube.com/watch?v=XNh_u_PgXBQ
/et/202203091400,2022-03-09 14:00:00,https://www.youtube.com/watch?v=PJ186ebQEME
/et/202203101000,2022-03-10 10:00:00,https://www.youtube.com/watch?v=uB0DFMoZSK8
/et/202203141500,2022-03-14 15:00:00,https://www.youtube.com/watch?v=gqmi7AdGqYA
/et/202203151000,2022-03-15 10:00:00,https://www.youtube.com/watch?v=lgj6_1-wiqo
/et/202203161200,2022-03-16 12:00:00,https://www.youtube.com/watch?v=j1QTCiWJ6Hw
/et/202203161400,2022-03-16 14:00:00,https://www.youtube.com/watch?v=Gc5CrQ2TbGU
/et/202203171000,2022-03-17 10:00:00,
/et/202203211500,2022-03-21 15:00:00,https://www.youtube.com/watch?v=8Ndim7Lm6b0
/et/202203221000,2022-03-22 10:00:00,https://www.youtube.com/watch?v=Z7dfSHvoka4
/et/202203231200,2022-03-23 12:00:00,https://www.youtube.com/watch?v=kiNsmt4wIGc
/et/202203231400,2022-03-23 14:00:00,https://www.youtube.com/watch?v=rFIXZB087KY
/et/202203231400,2022-03-23 14:00:00,https://www.youtube.com/watch?v=F0-4OtkZLOY
/et/202203241000,2022-03-24 10:00:00,https://www.youtube.com/watch?v=J-7DcWqNcJg
/et/202204041500,2022-04-04 15:00:00,https://www.youtube.com/watch?v=OlozJ4XlAJA
/et/202204051000,2022-04-05 10:00:00,https://www.youtube.com/watch?v=yZRsnzNX2I4
/et/202204061200,2022-04-06 12:00:00,https://www.youtube.com/watch?v=fvRKjuJ_8HE
/et/202204061400,2022-04-06 14:00:00,https://www.youtube.com/watch?v=kGe6q90o4oc
/et/202204071000,2022-04-07 10:00:00,https://www.youtube.com/watch?v=ud_R132khxI
/et/202204111500,2022-04-11 15:00:00,https://www.youtube.com/watch?v=jJ0VupWZGhg
