session_date,session_title,session_url,Audio zapis,Izvještaj,Obavještenje,Poslanička pitanja,Rezultati glasanja,Stenogram,Zapisnik
2010-05-12 00:00:00,77. sjednica Predstavničkog doma Parlamentarne skupštine BiH,https://parlament.ba/session/SessionDetails?id=1666&ConvernerId=1,https://parlament.ba/session/DownloadDocument?DocumentId=36dfa2c6-ea4a-4108-98e7-8e64ea0da857&langTag=bs,https://parlament.ba/session/DownloadDocument?DocumentId=ac2ca145-81ee-4fe8-8406-1985db8dc92f&langTag=bs,https://parlament.ba/session/DownloadDocument?DocumentId=ac72fbed-ab4b-41a6-82d1-12e20828ecad&langTag=bs,https://parlament.ba/session/QuestionForOldSession?SessionId=1666,https://parlament.ba/session/DownloadDocument?DocumentId=f5e5ec4c-53fe-4385-a407-22501dfcc621&langTag=bs,https://parlament.ba/session/DownloadDocument?DocumentId=3c1bfbe3-e134-4ef2-ba2b-d39317a41fc2&langTag=bs,https://parlament.ba/session/DownloadDocument?DocumentId=262423d9-f16f-464a-bd2b-816eb047e7ad&langTag=bs
2010-04-21 00:00:00,76. sjednica Predstavničkog doma Parlamentarne skupštine BiH,https://parlament.ba/session/SessionDetails?id=1665&ConvernerId=1,https://parlament.ba/session/DownloadDocument?DocumentId=afe65023-b2a2-417e-b3c3-3152cd8525ef&langTag=bs,https://parlament.ba/session/DownloadDocument?DocumentId=e2685922-b306-4d4e-8f18-6de047152c1b&langTag=bs,https://parlament.ba/session/DownloadDocument?DocumentId=e3e7747b-bbed-4682-93f9-b30e52027c64&langTag=bs,https://parlament.ba/session/QuestionForOldSession?SessionId=1665,https://parlament.ba/session/DownloadDocument?DocumentId=183420d4-4d23-4d72-8cba-874762b24856&langTag=bs,https://parlament.ba/session/DownloadDocument?DocumentId=252c4872-3c86-4942-91ff-86a4ef4fdf3d&langTag=bs,https://parlament.ba/session/DownloadDocument?DocumentId=bc2bb108-1708-44f8-9079-e9274ee34209&langTag=bs
2010-04-07 00:00:00,75. sjednica Predstavničkog doma Parlamentarne skupštine BiH,https://parlament.ba/session/SessionDetails?id=1664&ConvernerId=1,https://parlament.ba/session/DownloadDocument?DocumentId=c5345b92-40ed-4725-a5c4-fdba7949130d&langTag=bs,https://parlament.ba/session/DownloadDocument?DocumentId=7523bcdc-426a-4ef9-b671-74b1a309fb68&langTag=bs,https://parlament.ba/session/DownloadDocument?DocumentId=fb9dc9b4-7835-410d-9db6-f7049b6d8e05&langTag=bs,https://parlament.ba/session/QuestionForOldSession?SessionId=1664,https://parlament.ba/session/DownloadDocument?DocumentId=92519e7f-f071-4e9f-86c3-32a61bef3666&langTag=bs,https://parlament.ba/session/DownloadDocument?DocumentId=b062bce1-cc8c-49fe-be9a-5db9db6b7ee2&langTag=bs,https://parlament.ba/session/DownloadDocument?DocumentId=5bdbb652-f85b-4e1e-be1a-18bb387aecbf&langTag=bs
2010-03-24 00:00:00,74. sjednica Predstavničkog doma Parlamentarne skupštine BiH,https://parlament.ba/session/SessionDetails?id=1663&ConvernerId=1,https://parlament.ba/session/DownloadDocument?DocumentId=616a98de-7c55-4e1a-b2d4-d64399ea5c46&langTag=bs,https://parlament.ba/session/DownloadDocument?DocumentId=33166d45-34c6-4b53-bc2f-46c4886e002c&langTag=bs,https://parlament.ba/session/DownloadDocument?DocumentId=6a1b3227-11dd-4734-b9ba-b67e79ce9951&langTag=bs,https://parlament.ba/session/QuestionForOldSession?SessionId=1663,https://parlament.ba/session/DownloadDocument?DocumentId=54626dd1-e4d5-4125-bd79-a2d1ca2dd130&langTag=bs,https://parlament.ba/session/DownloadDocument?DocumentId=c15ae2bb-d30c-45c4-89ee-118745280b16&langTag=bs,https://parlament.ba/session/DownloadDocument?DocumentId=0ce0392b-e0fc-4a72-96c3-c1e15d19740d&langTag=bs
2010-03-23 00:00:00,Nastavak 73. sjednice Predstavničkog doma Parlamentarne skupštine BiH,https://parlament.ba/session/SessionDetails?id=1662&ConvernerId=1,https://parlament.ba/session/DownloadDocument?DocumentId=c75f3388-211f-490f-aa8a-817ef08724a7&langTag=bs,https://parlament.ba/session/DownloadDocument?DocumentId=ed280606-0e9d-484b-9ddb-5c97a89a0238&langTag=bs,https://parlament.ba/session/DownloadDocument?DocumentId=e883cb96-513b-426c-9b90-35db59b89486&langTag=bs,,https://parlament.ba/session/DownloadDocument?DocumentId=d5151d5d-78d6-4dcd-8cf2-88297a3f24f6&langTag=bs,https://parlament.ba/session/DownloadDocument?DocumentId=3c250097-0fab-4e28-95a8-e777fb18b82a&langTag=bs,https://parlament.ba/session/DownloadDocument?DocumentId=d58032a4-ceb8-4eb4-913a-86f455a86331&langTag=bs
2010-03-16 00:00:00,Nastavak 73. sjednice Predstavničkog doma Parlamentarne skupštine BiH,https://parlament.ba/session/SessionDetails?id=1661&ConvernerId=1,https://parlament.ba/session/DownloadDocument?DocumentId=ff624b7f-8fdc-4dcc-aa9a-123d7cdec3af&langTag=bs,,https://parlament.ba/session/DownloadDocument?DocumentId=d4ad5a25-646f-4c19-ba6c-c16db9a318ce&langTag=bs,,,https://parlament.ba/session/DownloadDocument?DocumentId=d843c561-b080-4989-b4c1-9417d77457d5&langTag=bs,https://parlament.ba/session/DownloadDocument?DocumentId=7cf8235f-d8cd-41ce-8648-ff6fe603211d&langTag=bs
2010-03-10 00:00:00,73. sjednica Predstavničkog doma Parlamentarne skupštine BiH,https://parlament.ba/session/SessionDetails?id=1660&ConvernerId=1,https://parlament.ba/session/DownloadDocument?DocumentId=70ca20da-7fa5-424d-955c-3acf283eeb80&langTag=bs,,https://parlament.ba/session/DownloadDocument?DocumentId=df1fa225-e085-4e9c-a5e0-2824714c0f99&langTag=bs,https://parlament.ba/session/QuestionForOldSession?SessionId=1660,,https://parlament.ba/session/DownloadDocument?DocumentId=67487914-b9b3-4b56-8dfa-bf93f60a5076&langTag=bs,https://parlament.ba/session/DownloadDocument?DocumentId=d1b37973-0998-4317-aeea-5d013d11203f&langTag=bs
2010-02-17 00:00:00,72. sjednica Predstavničkog doma Parlamentarne skupštine BiH,https://parlament.ba/session/SessionDetails?id=1659&ConvernerId=1,https://parlament.ba/session/DownloadDocument?DocumentId=6dcfa1a9-9658-40eb-9162-feef7098bfcb&langTag=bs,https://parlament.ba/session/DownloadDocument?DocumentId=b45bcf49-38f9-4128-8e4e-ff8d9be58325&langTag=bs,https://parlament.ba/session/DownloadDocument?DocumentId=fe0c987b-b4e3-4482-8197-aa12fdaa8347&langTag=bs,https://parlament.ba/session/QuestionForOldSession?SessionId=1659,https://parlament.ba/session/DownloadDocument?DocumentId=88409928-bb84-43fd-b47e-00a3c57d43e0&langTag=bs,https://parlament.ba/session/DownloadDocument?DocumentId=8b8d4442-a506-4d8a-a12b-add64c392b48&langTag=bs,https://parlament.ba/session/DownloadDocument?DocumentId=affe1b41-efaf-4348-9bc9-ec7500a2debf&langTag=bs
2010-02-10 00:00:00,Nastavak 71. sjednice Predstavničkog doma Parlamentarne skupštine BiH,https://parlament.ba/session/SessionDetails?id=1658&ConvernerId=1,https://parlament.ba/session/DownloadDocument?DocumentId=44541287-c85c-4ba8-b11f-733d8537d792&langTag=bs,https://parlament.ba/session/DownloadDocument?DocumentId=00ad1995-ec3a-493f-b4e7-84abb1f993fc&langTag=bs,https://parlament.ba/session/DownloadDocument?DocumentId=7faf6907-732b-4849-81aa-e784d4a99782&langTag=bs,,,,https://parlament.ba/session/DownloadDocument?DocumentId=2701f3da-e2eb-4ba6-82a7-3123da12c963&langTag=bs
2010-02-03 00:00:00,71. sjednica Predstavničkog doma Parlamentarne skupštine BiH,https://parlament.ba/session/SessionDetails?id=1657&ConvernerId=1,https://parlament.ba/session/DownloadDocument?DocumentId=241ba251-373e-492e-bf7e-b1602af91916&langTag=bs,,https://parlament.ba/session/DownloadDocument?DocumentId=86cac68d-4ff7-4b94-9251-07fe19e1f8f1&langTag=bs,https://parlament.ba/session/QuestionForOldSession?SessionId=1657,,https://parlament.ba/session/DownloadDocument?DocumentId=0c54948d-f462-43f5-838f-4e46eb3eeef9&langTag=bs,https://parlament.ba/session/DownloadDocument?DocumentId=ba3e3d46-e677-4e9d-b0c7-203a83a0e43c&langTag=bs
