date,session_title,link_to_session
28.4.2020,"6. hitna sjednica Predstavničkog doma
Parlamentarne skupštine Bosne i Hercegovine",https://parlament.ba/session/OSessionDetails?id=1989&ConvernerId=1
11.3.2020,7. sjednica Predstavničkog doma Parlamentarne skupštine Bosne i Hercegovine,https://parlament.ba/session/OSessionDetails?id=1981&ConvernerId=1
11.3.2020,6. sjednica Predstavničkog doma Parlamentarne skupštine Bosne i Hercegovine (tematska sjednica),https://parlament.ba/session/OSessionDetails?id=1980&ConvernerId=1
26.2.2020,"5. sjednica Predstavničkog doma
Parlamentarne skupštine Bosne i Hercegovine",https://parlament.ba/session/OSessionDetails?id=1975&ConvernerId=1
4.2.2020,4. sjednica Predstavničkog doma Parlamentarne skupštine Bosne i Hercegovine,https://parlament.ba/session/OSessionDetails?id=1954&ConvernerId=1
16.1.2020,3. sjednica Predstavničkog doma Parlamentarne skupštine Bosne i Hercegovine,https://parlament.ba/session/OSessionDetails?id=1909&ConvernerId=1
23.12.2019,5. hitna sjednica Predstavničkog doma Parlamentarne skupštine Bosne i Hercegovine,https://parlament.ba/session/OSessionDetails?id=1930&ConvernerId=1
18.12.2019,"2. sjednica Predstavničkog doma
Parlamentarne skupštine Bosne i Hercegovine",https://parlament.ba/session/OSessionDetails?id=1917&ConvernerId=1
5.12.2019,"4. hitna sjednica Predstavničkog doma
Parlamentarne skupštine Bosne i Hercegovine",https://parlament.ba/session/OSessionDetails?id=1914&ConvernerId=1
20.11.2019,"3.		hitna sjednica Predstavničkog doma
Parlamentarne skupštine Bosne i Hercegovine",https://parlament.ba/session/OSessionDetails?id=1910&ConvernerId=1
26.6.2019,Nastavak 2. hitne sjednice Predstavničkog doma Parlamentarne skupštine Bosne i Hercegovine,https://parlament.ba/session/OSessionDetails?id=1907&ConvernerId=1
14.6.2019,2.		hitna sjednica Predstavničkog doma Parlamentarne skupštine Bosne i Hercegovine,https://parlament.ba/session/OSessionDetails?id=1905&ConvernerId=1
11.4.2019,1. hitna sjednica Predstavničkog doma Parlamentarne skupštine Bosne i Hercegovine,https://parlament.ba/session/OSessionDetails?id=1904&ConvernerId=1
6.12.2018,Konstituirajuća sjednica Predstavničkog doma Parlamentarne skupštine BiH,https://parlament.ba/session/OSessionDetails?id=1867&ConvernerId=1
17.9.2018,"11.		hitna sjednica Predstavničkog doma
Parlamentarne skupštine Bosne i Hercegovine",https://parlament.ba/session/OSessionDetails?id=1851&ConvernerId=1
4.9.2018,64. sjednica Predstavničkog doma Parlamentarne skupštine Bosne i Hercegovine,https://parlament.ba/session/OSessionDetails?id=1842&ConvernerId=1
26.7.2018,"10.		hitna sjednicu Predstavničkog doma
Parlamentarne skupštine Bosne i Hercegovine",https://parlament.ba/session/OSessionDetails?id=1840&ConvernerId=1
26.7.2018,Nastavak 63. sjednice Predstavničkog doma Parlamentarne skupštine Bosne i Hercegovine,https://parlament.ba/session/OSessionDetails?id=1834&ConvernerId=1
5.7.2018,63. sjednica Predstavničkog doma Parlamentarne skupštine Bosne i Hercegovine,https://parlament.ba/session/OSessionDetails?id=1822&ConvernerId=1
5.7.2018,Nastavak 62. sjednice Predstavničkog doma Parlamentarne skupštine Bosne i Hercegovine,https://parlament.ba/session/OSessionDetails?id=1827&ConvernerId=1
20.6.2018,Nastavak 62. sjednice Predstavničkog doma Parlamentarne skupštine Bosne i Hercegovine,https://parlament.ba/session/OSessionDetails?id=1821&ConvernerId=1
30.5.2018,62. sjednica Predstavničkog doma Parlamentarne skupštine Bosne i Hercegovine,https://parlament.ba/session/OSessionDetails?id=1812&ConvernerId=1
17.5.2018,61. sjednica Predstavničkog doma Parlamentarne skupštine Bosne i Hercegovine,https://parlament.ba/session/OSessionDetails?id=1805&ConvernerId=1
24.4.2018,9. hitna sjednica Predstavničkog doma Parlamentarne skupštine Bosne i Hercegovine,https://parlament.ba/session/OSessionDetails?id=1798&ConvernerId=1
20.4.2018,"8. hitna sjednica Predstavničkog doma
Parlamentarne skupštine Bosne i Hercegovine",https://parlament.ba/session/OSessionDetails?id=1794&ConvernerId=1
18.4.2018,60. sjednica Predstavničkog doma Parlamentarne skupštine Bosne i Hercegovine,https://parlament.ba/session/OSessionDetails?id=1786&ConvernerId=1
21.3.2018,59. sjednica Predstavničkog doma Parlamentarne skupštine Bosne i Hercegovine,https://parlament.ba/session/OSessionDetails?id=1771&ConvernerId=1
7.3.2018,58. sjednica Predstavničkog doma Parlamentarne skupštine Bosne i Hercegovine,https://parlament.ba/session/OSessionDetails?id=1762&ConvernerId=1
20.2.2018,57. sjednica Predstavničkog doma Parlamentarne skupštine Bosne i Hercegovine,https://parlament.ba/session/OSessionDetails?id=1753&ConvernerId=1
31.1.2018,56. sjednica Predstavničkog doma Parlamentarne skupštine Bosne i Hercegovine (nakon završetka 55. sjednice),https://parlament.ba/session/OSessionDetails?id=1739&ConvernerId=1
31.1.2018,Nastavak 55. sjednice Predstavničkog doma Parlamentarne skupštine Bosne i Hercegovine,https://parlament.ba/session/OSessionDetails?id=1738&ConvernerId=1
17.1.2018,Nastavak 55. sjednice Predstavničkog doma Parlamentarne skupštine Bosne i Hercegovine,https://parlament.ba/session/OSessionDetails?id=1725&ConvernerId=1
21.12.2017,55. sjednica Predstavničkog doma Parlamentarne skupštine Bosne i Hercegovine,https://parlament.ba/session/OSessionDetails?id=1712&ConvernerId=1
15.12.2017,Nastavak 54. sjednice Predstavničkog doma Parlamentarne skupštine Bosne i Hercegovine,https://parlament.ba/session/OSessionDetails?id=1720&ConvernerId=1
14.12.2017,54. sjednica Predstavničkog doma Parlamentarne skupštine Bosne i Hercegovine (nakon završetka 53. sjednice),https://parlament.ba/session/OSessionDetails?id=1694&ConvernerId=1
14.12.2017,Nastavak 53. sjednice  Predstavničkog doma Parlamentarne skupštine Bosne i Hercegovine,https://parlament.ba/session/OSessionDetails?id=1713&ConvernerId=1
29.11.2017,Nastavak 53. sjednice Predstavničkog doma Parlamentarne skupštine Bosne i Hercegovine,https://parlament.ba/session/OSessionDetails?id=1693&ConvernerId=1
25.10.2017,53. sjednica Predstavničkog doma Parlamentarne skupštine Bosne i Hercegovine,https://parlament.ba/session/OSessionDetails?id=1682&ConvernerId=1
20.9.2017,52. sjednica Predstavničkog doma Parlamentarne skupštine Bosne i Hercegovine,https://parlament.ba/session/OSessionDetails?id=1662&ConvernerId=1
13.9.2017,Nastavak 51. sjednice Predstavničkog doma Parlamentarne skupštine Bosne i Hercegovine,https://parlament.ba/session/OSessionDetails?id=1661&ConvernerId=1
7.9.2017,51. sjednica Predstavničkog doma Parlamentarne skupštine Bosne i Hercegovine,https://parlament.ba/session/OSessionDetails?id=1655&ConvernerId=1
26.7.2017,50. sjednica Predstavničkog doma Parlamentarne skupštine Bosne i Hercegovine,https://parlament.ba/session/OSessionDetails?id=1647&ConvernerId=1
5.7.2017,49. sjednica Predstavničkog doma Parlamentarne skupštine Bosne i Hercegovine,https://parlament.ba/session/OSessionDetails?id=1623&ConvernerId=1
5.7.2017,Nastavak 48. sjednice Predstavničkog doma Parlamentarne skupštine BiH,https://parlament.ba/session/OSessionDetails?id=1625&ConvernerId=1
15.6.2017,"48. sjednica Predstavničkog doma Parlamentarne skupštine Bosne i Hercegovine,nakon završetka 47. sjednice Predstavničkog doma PSBiH",https://parlament.ba/session/OSessionDetails?id=1610&ConvernerId=1
14.6.2017,47. sjednica Predstavničkog doma Parlamentarne skupštine Bosne i Hercegovine,https://parlament.ba/session/OSessionDetails?id=1609&ConvernerId=1
31.5.2017,46. sjednica Predstavničkog doma Parlamentarne skupštine Bosne i Hercegovine,https://parlament.ba/session/OSessionDetails?id=1597&ConvernerId=1
10.5.2017,45. sjednica Predstavničkog doma Parlamentarne skupštine Bosne i Hercegovine,https://parlament.ba/session/OSessionDetails?id=1581&ConvernerId=1
20.4.2017,44. sjednica Predstavničkog doma Parlamentarne skupštine Bosne i Hercegovine,https://parlament.ba/session/OSessionDetails?id=1568&ConvernerId=1
