video_id,mp4_video_link,pdf_link,session_date,session_title,session_url
1422,https://parlament.ba/session/GetOwisDocument?id=91896,https://static.parlament.ba/doc/92172_34.%20sjednica%20PD%201%208%2016.pdf,2016-08-01 00:00:00,34. sjednica Predstavničkog doma Parlamentarne skupštine Bosne i Hercegovine,https://parlament.ba/session/OSessionDetails?id=1422&ConvernerId=1
1412,https://static.parlament.ba/doc/91226_33_sjed_PD.mp3,https://static.parlament.ba/doc/91569_33%20sjednica%20PD%2019%207%2016.pdf,2016-07-19 00:00:00,"33. sjednica Predstavničkog doma Parlamentarne skupštine 
Bosne i Hercegovine",https://parlament.ba/session/OSessionDetails?id=1412&ConvernerId=1
1399,https://parlament.ba/session/GetOwisDocument?id=90398,https://static.parlament.ba/doc/90397_6.%20hitna%20sjednica%20PD%2015%206%2016.pdf,2016-06-15 00:00:00,"6.	 hitna sjednica Predstavničkog doma
Parlamentarne skupštine Bosne i Hercegovine",https://parlament.ba/session/OSessionDetails?id=1399&ConvernerId=1
1396,https://static.parlament.ba/doc/90262_nastavak%205.%20hitne%20sjednice%20PD%2015.6..mp3,https://static.parlament.ba/doc/90453_Nastavak%205%20%20hitne%20sjednice%20PD%2015%206%202016.pdf,2016-06-15 00:00:00,Nastavak 5. hitne sjednice Predstavničkog doma Parlamentarne skupštine Bosne i Hercegovine,https://parlament.ba/session/OSessionDetails?id=1396&ConvernerId=1
1385,https://parlament.ba/session/GetOwisDocument?id=90260,https://static.parlament.ba/doc/90481_31.%20sjednica%20PD%2015%206%2016.pdf,2016-06-15 00:00:00,31. sjednica Predstavničkog doma Parlamentarne skupštine Bosne i Hercegovine,https://parlament.ba/session/OSessionDetails?id=1385&ConvernerId=1
1383,https://static.parlament.ba/doc/89793_5%20Hitna_sjedn_PD%2030%2005%202016.mp3,https://static.parlament.ba/doc/90352_5%20%20hitna%20sjednica%20PD%2030%205%2016.pdf,2016-05-30 00:00:00,"5.hitna sjednica Predstavničkog doma
Parlamentarne skupštine Bosne i Hercegovine",https://parlament.ba/session/OSessionDetails?id=1383&ConvernerId=1
1377,https://static.parlament.ba/doc/89746_30_sjed_PD.mp3,https://static.parlament.ba/doc/89873_30%20sjednica%20PD%2024%2005%2016.pdf,2016-05-24 00:00:00,30. sjednica Predstavničkog doma Parlamentarne skupštine Bosne i Hercegovine,https://parlament.ba/session/OSessionDetails?id=1377&ConvernerId=1
1369,https://static.parlament.ba/doc/89092_29_sjed_PD.mp3,https://static.parlament.ba/doc/89650_29.%20sjednica%20PD%2011%205%2016.pdf,2016-05-11 00:00:00,29. sjednica Predstavničkog doma Parlamentarne skupštine Bosne i Hercegovine,https://parlament.ba/session/OSessionDetails?id=1369&ConvernerId=1
1364,https://parlament.ba/session/GetOwisDocument?id=89091,https://static.parlament.ba/doc/89543_Nastavak%2028.%20sjednice%20PD%2011%205%2016.pdf,2016-05-11 00:00:00,Nastavak 28. sjednice Predstavničkog doma Parlamentarne skupštine BiH,https://parlament.ba/session/OSessionDetails?id=1364&ConvernerId=1
1346,https://static.parlament.ba/doc/88894_28_sjed_PD.mp3,https://static.parlament.ba/doc/88963_28%20%20sjednica%20PD%2027%2004%2016%20.pdf,2016-04-27 00:00:00,28. sjednica Predstavničkog doma Parlamentarne skupštine Bosne i Hercegovine,https://parlament.ba/session/OSessionDetails?id=1346&ConvernerId=1
1333,https://static.parlament.ba/doc/87564_27_sjed_PD.mp3,https://parlament.ba/session/GetOwisDocument?id=87890,2016-04-05 00:00:00,27. sjednica Predstavničkog doma Parlamentarne skupštine Bosne i Hercegovine,https://parlament.ba/session/OSessionDetails?id=1333&ConvernerId=1
1315,https://static.parlament.ba/doc/87058_26_sjed_PD.mp3,https://static.parlament.ba/doc/87370_26.%20sjednica%20PD%2017.03.16..pdf,2016-03-17 00:00:00,26. sjednica Predstavničkog doma Parlamentarne skupštine Bosne i Hercegovine,https://parlament.ba/session/OSessionDetails?id=1315&ConvernerId=1
1300,https://static.parlament.ba/doc/86056_25_sjed_PD.mp3,https://static.parlament.ba/doc/86117_25.%20sjednica%20PD%2016.02.16..pdf,2016-02-16 00:00:00,25. sjednica Predstavničkog doma Parlamentarne skupštine Bosne i Hercegovine,https://parlament.ba/session/OSessionDetails?id=1300&ConvernerId=1
1283,https://static.parlament.ba/doc/85777_24_sjed_PD.mp3,https://static.parlament.ba/doc/85804_24.%20sjednica%20PD%2003.02.16..pdf,2016-02-03 00:00:00,24. sjednica Predstavničkog doma Parlamentarne skupštine Bosne i Hercegovine,https://parlament.ba/session/OSessionDetails?id=1283&ConvernerId=1
1278,https://parlament.ba/session/GetOwisDocument?id=84732,https://static.parlament.ba/doc/84929_transkript%2023%20%20sjednica%20PD%2012%2001%2016.pdf,2016-01-12 00:00:00,23. sjednica Predstavničkog doma Parlamentarne skupštine Bosne i Hercegovine,https://parlament.ba/session/OSessionDetails?id=1278&ConvernerId=1
1270,https://static.parlament.ba/doc/88913_22_sjed_PD.mp3,https://static.parlament.ba/doc/84561_transkript%2022.%20sjednica%20PD%2030.12.15..pdf,2015-12-30 00:00:00,22. sjednica Predstavničkog doma Parlamentarne skupštine Bosne i Hercegovine,https://parlament.ba/session/OSessionDetails?id=1270&ConvernerId=1
1255,https://parlament.ba/session/GetOwisDocument?id=83821,https://static.parlament.ba/doc/83870_21.%20sjednica%20PD%2010.12.15..pdf,2015-12-10 00:00:00,21. sjednica Predstavničkog doma Parlamentarne skupštine Bosne i Hercegovine,https://parlament.ba/session/OSessionDetails?id=1255&ConvernerId=1
1243,https://parlament.ba/session/GetOwisDocument?id=83379,https://static.parlament.ba/doc/83640_20.%20sjednica%20PD%2024.11.15..pdf,2015-11-24 00:00:00,20. sjednicа Predstavničkog doma Parlamentarne skupštine Bosne i Hercegovine,https://parlament.ba/session/OSessionDetails?id=1243&ConvernerId=1
1229,https://parlament.ba/session/GetOwisDocument?id=82634,https://static.parlament.ba/doc/82731_19.%20sjednica%20PD%2028.10.15..docx,2015-10-28 00:00:00,19. sjednica Predstavničkog doma Parlamentarne skupštine Bosne i Hercegovine,https://parlament.ba/session/OSessionDetails?id=1229&ConvernerId=1
