transcript_date,transcript_url,reason
2020-10-08,https://www.saeima.lv/lv/transcripts/view/2121,No video links found
2020-10-15,https://www.saeima.lv/lv/transcripts/view/2122,No video links found
2020-10-15,https://www.saeima.lv/lv/transcripts/view/2123,No video links found
2020-10-16,https://www.saeima.lv/lv/transcripts/view/2124,No video links found
2020-10-22,https://www.saeima.lv/lv/transcripts/view/2125,No video links found
2020-11-05,https://www.saeima.lv/lv/transcripts/view/2133,No video links found
2020-11-05,https://www.saeima.lv/lv/transcripts/view/2134,No video links found
2020-11-10,https://www.saeima.lv/lv/transcripts/view/2135,No video links found
2020-11-12,https://www.saeima.lv/lv/transcripts/view/2136,No video links found
2020-11-12,https://www.saeima.lv/lv/transcripts/view/2137,No video links found
2020-11-12,https://www.saeima.lv/lv/transcripts/view/2140,No video links found
2020-11-12,https://www.saeima.lv/lv/transcripts/view/2139,No video links found
2020-11-18,https://www.saeima.lv/lv/transcripts/view/2141,No video links found
2020-11-19,https://www.saeima.lv/lv/transcripts/view/2138,No video links found
2020-11-19,https://www.saeima.lv/lv/transcripts/view/2142,No video links found
2020-12-01,https://www.saeima.lv/lv/transcripts/view/2159,No video links found
2020-12-01,https://www.saeima.lv/lv/transcripts/view/2160,No video links found
2020-12-03,https://www.saeima.lv/lv/transcripts/view/2161,No video links found
2020-12-03,https://www.saeima.lv/lv/transcripts/view/2157,No video links found
2024-02-29,https://www.saeima.lv/lv/transcripts/view/2531,No video links found
2024-12-04,https://www.saeima.lv/lv/transcripts/view/2507,Failed to scrape page
2024-12-04,https://www.saeima.lv/lv/transcripts/view/2514,No video links found
2024-12-05,https://www.saeima.lv/lv/transcripts/view/2578,No video links found
2024-12-04,https://www.saeima.lv/lv/transcripts/view/2579,No video links found
2024-12-04,https://www.saeima.lv/lv/transcripts/view/2580,No video links found
2023-01-12,https://www.saeima.lv/lv/transcripts/view/2430,No video links found
2023-01-19,https://www.saeima.lv/lv/transcripts/view/2431,No video links found
2023-01-26,https://www.saeima.lv/lv/transcripts/view/2432,No video links found
2023-01-31,https://www.saeima.lv/lv/transcripts/view/2433,No video links found
2023-01-31,https://www.saeima.lv/lv/transcripts/view/2436,No video links found
2023-02-02,https://www.saeima.lv/lv/transcripts/view/2437,No video links found
2023-02-09,https://www.saeima.lv/lv/transcripts/view/2438,No video links found
2023-02-13,https://www.saeima.lv/lv/transcripts/view/2439,No video links found
2023-02-16,https://www.saeima.lv/lv/transcripts/view/2445,No video links found
2023-02-17,https://www.saeima.lv/lv/transcripts/view/2447,No video links found
2023-02-23,https://www.saeima.lv/lv/transcripts/view/2449,No video links found
2023-02-23,https://www.saeima.lv/lv/transcripts/view/2448,No video links found
2023-02-24,https://www.saeima.lv/lv/transcripts/view/2450,No video links found
2023-03-02,https://www.saeima.lv/lv/transcripts/view/2454,No video links found
2023-03-08,https://www.saeima.lv/lv/transcripts/view/2455,No video links found
2023-03-15,https://www.saeima.lv/lv/transcripts/view/2458,No video links found
2023-03-16,https://www.saeima.lv/lv/transcripts/view/2456,No video links found
2023-03-16,https://www.saeima.lv/lv/transcripts/view/2457,No video links found
2023-03-23,https://www.saeima.lv/lv/transcripts/view/2459,No video links found
2023-03-30,https://www.saeima.lv/lv/transcripts/view/2460,No video links found
2023-04-05,https://www.saeima.lv/lv/transcripts/view/2462,No video links found
2023-04-20,https://www.saeima.lv/lv/transcripts/view/2464,No video links found
2023-04-26,https://www.saeima.lv/lv/transcripts/view/2465,No video links found
2023-04-27,https://www.saeima.lv/lv/transcripts/view/2463,No video links found
2023-04-27,https://www.saeima.lv/lv/transcripts/view/2467,No video links found
2023-04-27,https://www.saeima.lv/lv/transcripts/view/2468,No video links found
2023-05-04,https://www.saeima.lv/lv/transcripts/view/2469,No video links found
2023-05-18,https://www.saeima.lv/lv/transcripts/view/2471,No video links found
2023-05-11,https://www.saeima.lv/lv/transcripts/view/2470,No video links found
2023-05-18,https://www.saeima.lv/lv/transcripts/view/2472,No video links found
2023-05-25,https://www.saeima.lv/lv/transcripts/view/2473,No video links found
2023-05-25,https://www.saeima.lv/lv/transcripts/view/2474,No video links found
2023-05-28,https://www.saeima.lv/lv/transcripts/view/2475,No video links found
2023-05-31,https://www.saeima.lv/lv/transcripts/view/2476,No video links found
2023-06-01,https://www.saeima.lv/lv/transcripts/view/2477,No video links found
2023-06-01,https://www.saeima.lv/lv/transcripts/view/2478,No video links found
2023-06-08,https://www.saeima.lv/lv/transcripts/view/2480,No video links found
2023-06-15,https://www.saeima.lv/lv/transcripts/view/2481,No video links found
2023-06-15,https://www.saeima.lv/lv/transcripts/view/2482,No video links found
2023-06-22,https://www.saeima.lv/lv/transcripts/view/2483,No video links found
2023-07-08,https://www.saeima.lv/lv/transcripts/view/2484,No video links found
2023-09-07,https://www.saeima.lv/lv/transcripts/view/2485,No video links found
2023-09-14,https://www.saeima.lv/lv/transcripts/view/2486,No video links found
2023-09-15,https://www.saeima.lv/lv/transcripts/view/2487,No video links found
2023-09-20,https://www.saeima.lv/lv/transcripts/view/2488,No video links found
2023-09-21,https://www.saeima.lv/lv/transcripts/view/2489,No video links found
2023-09-26,https://www.saeima.lv/lv/transcripts/view/2490,No video links found
2023-09-28,https://www.saeima.lv/lv/transcripts/view/2491,No video links found
2023-10-05,https://www.saeima.lv/lv/transcripts/view/2492,No video links found
2023-10-12,https://www.saeima.lv/lv/transcripts/view/2493,No video links found
2023-10-19,https://www.saeima.lv/lv/transcripts/view/2494,No video links found
2023-10-26,https://www.saeima.lv/lv/transcripts/view/2496,No video links found
