transcript_date,transcript_url,video_url,video_time
2022-02-17,https://www.saeima.lv/lv/transcripts/view/2362,"https://cdn.tiesraides.lv/saeima.lv/20220217104501_saeima.lv.1_0_0,",9.20
2022-02-17,https://www.saeima.lv/lv/transcripts/view/2362,"https://cdn.tiesraides.lv/saeima.lv/20220217123801_saeima.lv.1_0_0,",11.00
2022-02-17,https://www.saeima.lv/lv/transcripts/view/2362,"https://cdn.tiesraides.lv/saeima.lv/20220217150001_saeima.lv.1_0_0,",13.30
2022-02-17,https://www.saeima.lv/lv/transcripts/view/2362,"https://cdn.tiesraides.lv/saeima.lv/20220217150101_saeima.lv.1_0_0,",14.00
2022-02-17,https://www.saeima.lv/lv/transcripts/view/2362,"https://cdn.tiesraides.lv/saeima.lv/20220217155902_saeima.lv.1_0_0,",15.30
2022-02-17,https://www.saeima.lv/lv/transcripts/view/2362,"https://cdn.tiesraides.lv/saeima.lv/20220217182301_saeima.lv.1_0,",16.30
2022-02-17,https://www.saeima.lv/lv/transcripts/view/2362,"https://cdn.tiesraides.lv/saeima.lv/20220217182501_saeima.lv.1_0,",16.50
2022-02-17,https://www.saeima.lv/lv/transcripts/view/2360,"https://cdn.tiesraides.lv/saeima.lv/20220217091201_saeima.lv.1_0_0,",9.00
2022-02-17,https://www.saeima.lv/lv/transcripts/view/2360,"https://cdn.tiesraides.lv/saeima.lv/20220217104501_saeima.lv.1_0_0,",9.20
2022-02-17,https://www.saeima.lv/lv/transcripts/view/2360,"https://cdn.tiesraides.lv/saeima.lv/20220217123801_saeima.lv.1_0_0,",11.00
2022-02-17,https://www.saeima.lv/lv/transcripts/view/2360,"https://cdn.tiesraides.lv/saeima.lv/20220217150001_saeima.lv.1_0_0,",13.30
2022-02-17,https://www.saeima.lv/lv/transcripts/view/2360,"https://cdn.tiesraides.lv/saeima.lv/20220217150101_saeima.lv.1_0_0,",14.00
2022-02-17,https://www.saeima.lv/lv/transcripts/view/2360,"https://cdn.tiesraides.lv/saeima.lv/20220217155902_saeima.lv.1_0_0,",15.30
2022-02-17,https://www.saeima.lv/lv/transcripts/view/2360,"https://cdn.tiesraides.lv/saeima.lv/20220217182301_saeima.lv.1_0,",16.30
2022-02-17,https://www.saeima.lv/lv/transcripts/view/2360,"https://cdn.tiesraides.lv/saeima.lv/20220217182501_saeima.lv.1_0,",16.50
2022-02-17,https://www.saeima.lv/lv/transcripts/view/2361,"https://cdn.tiesraides.lv/saeima.lv/20220217091201_saeima.lv.1_0_0,",9.00
2022-02-17,https://www.saeima.lv/lv/transcripts/view/2361,"https://cdn.tiesraides.lv/saeima.lv/20220217104501_saeima.lv.1_0_0,",9.20
2022-02-17,https://www.saeima.lv/lv/transcripts/view/2361,"https://cdn.tiesraides.lv/saeima.lv/20220217123801_saeima.lv.1_0_0,",11.00
2022-02-17,https://www.saeima.lv/lv/transcripts/view/2361,"https://cdn.tiesraides.lv/saeima.lv/20220217150001_saeima.lv.1_0_0,",13.30
2022-02-17,https://www.saeima.lv/lv/transcripts/view/2361,"https://cdn.tiesraides.lv/saeima.lv/20220217150101_saeima.lv.1_0_0,",14.00
2022-02-17,https://www.saeima.lv/lv/transcripts/view/2361,"https://cdn.tiesraides.lv/saeima.lv/20220217155902_saeima.lv.1_0_0,",15.30
2022-02-17,https://www.saeima.lv/lv/transcripts/view/2361,"https://cdn.tiesraides.lv/saeima.lv/20220217182301_saeima.lv.1_0,",16.30
2022-02-17,https://www.saeima.lv/lv/transcripts/view/2361,"https://cdn.tiesraides.lv/saeima.lv/20220217182501_saeima.lv.1_0,",16.50
2022-02-17,https://www.saeima.lv/lv/transcripts/view/2363,"https://cdn.tiesraides.lv/saeima.lv/20220217091201_saeima.lv.1_0_0,",9.00
2022-02-17,https://www.saeima.lv/lv/transcripts/view/2363,"https://cdn.tiesraides.lv/saeima.lv/20220217104501_saeima.lv.1_0_0,",9.20
2022-02-17,https://www.saeima.lv/lv/transcripts/view/2363,"https://cdn.tiesraides.lv/saeima.lv/20220217123801_saeima.lv.1_0_0,",11.00
2022-02-17,https://www.saeima.lv/lv/transcripts/view/2363,"https://cdn.tiesraides.lv/saeima.lv/20220217150001_saeima.lv.1_0_0,",13.30
2022-02-17,https://www.saeima.lv/lv/transcripts/view/2363,"https://cdn.tiesraides.lv/saeima.lv/20220217150101_saeima.lv.1_0_0,",14.00
2022-02-17,https://www.saeima.lv/lv/transcripts/view/2363,"https://cdn.tiesraides.lv/saeima.lv/20220217155902_saeima.lv.1_0_0,",15.30
2022-02-17,https://www.saeima.lv/lv/transcripts/view/2363,"https://cdn.tiesraides.lv/saeima.lv/20220217182301_saeima.lv.1_0,",16.30
2022-02-17,https://www.saeima.lv/lv/transcripts/view/2363,"https://cdn.tiesraides.lv/saeima.lv/20220217182501_saeima.lv.1_0,",16.50
2022-02-24,https://www.saeima.lv/lv/transcripts/view/2366,"https://cdn.tiesraides.lv/saeima.lv/20220224104502_saeima.lv.1_0_0,",9.00
2022-02-24,https://www.saeima.lv/lv/transcripts/view/2366,"https://cdn.tiesraides.lv/saeima.lv/20220224123401_saeima.lv.1_0_0,",11.25
2022-02-24,https://www.saeima.lv/lv/transcripts/view/2366,"https://cdn.tiesraides.lv/saeima.lv/20220225085602_saeima.lv.1_0_0,",13.00
2022-02-24,https://www.saeima.lv/lv/transcripts/view/2366,"https://cdn.tiesraides.lv/saeima.lv/20220225090202_saeima.lv.1_0,",15.00
2022-02-24,https://www.saeima.lv/lv/transcripts/view/2366,"https://cdn.tiesraides.lv/saeima.lv/20220224204502_saeima.lv.1_0,",18.30
2022-03-03,https://www.saeima.lv/lv/transcripts/view/2368,"https://cdn.tiesraides.lv/saeima.lv/20220303103702_saeima.lv.1_0_0,",9.00
2022-03-03,https://www.saeima.lv/lv/transcripts/view/2368,"https://cdn.tiesraides.lv/saeima.lv/20220303124901_saeima.lv.1_0_0,",11.00
2022-03-03,https://www.saeima.lv/lv/transcripts/view/2368,"https://cdn.tiesraides.lv/saeima.lv/20220303151202_saeima.lv.1_0_0,",13.30
2022-03-10,https://www.saeima.lv/lv/transcripts/view/2369,"https://cdn.tiesraides.lv/saeima.lv/20220310104501_saeima.lv.1_0_0,",9.00
2022-03-10,https://www.saeima.lv/lv/transcripts/view/2369,"https://cdn.tiesraides.lv/saeima.lv/20220310123301_saeima.lv.1_0_0,",11.00
2022-03-10,https://www.saeima.lv/lv/transcripts/view/2369,"https://cdn.tiesraides.lv/saeima.lv/20220310135902_saeima.lv.1_0_0,",13.45
2022-03-10,https://www.saeima.lv/lv/transcripts/view/2369,"https://cdn.tiesraides.lv/saeima.lv/20220310151701_saeima.lv.1_0_0,",15.00
2022-03-10,https://www.saeima.lv/lv/transcripts/view/2369,"https://cdn.tiesraides.lv/saeima.lv/20220310165202_saeima.lv.1_0_0,",15.30
2022-03-17,https://www.saeima.lv/lv/transcripts/view/2370,"https://cdn.tiesraides.lv/saeima.lv/20220317103901_saeima.lv.1_0_0,",9.00
2022-03-17,https://www.saeima.lv/lv/transcripts/view/2370,"https://cdn.tiesraides.lv/saeima.lv/20220317124102_saeima.lv.1_0_0,",11.00
2022-03-17,https://www.saeima.lv/lv/transcripts/view/2370,"https://cdn.tiesraides.lv/saeima.lv/20220317151201_saeima.lv.1_0_0,",13.30
2022-03-17,https://www.saeima.lv/lv/transcripts/view/2370,"https://cdn.tiesraides.lv/saeima.lv/20220317171101_saeima.lv.1_0_0,",15.30
2022-03-24,https://www.saeima.lv/lv/transcripts/view/2373,"https://cdn.tiesraides.lv/saeima.lv/20220324105001_saeima.lv.1_0_0,",9.00
