transcript_id,generic_video_link,html_link
XI_2_9,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21313,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016720
XI_2_8,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21309,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016719
XI_2_7,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21338,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016718
XI_2_6,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21380,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016717
XI_2_5,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21308,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016716
XI_2_4,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21328,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016715
XI_2_3,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21374,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016714
XI_2_2,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21373,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016713
XI_2_1,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21310,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016712
XI_2_-,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21289,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016711
XI_1_17,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21286,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016706
XI_1_16,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21285,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016705
XI_1_15,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21284,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016704
XI_1_14,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21282,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016703
XI_1_13,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21281,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016701
XI_1_12,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21280,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016700
XI_1_11,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21279,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016699
XI_1_10,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21278,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016688
XI_1_9,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21277,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016687
XI_1_8,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21273,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016686
XI_1_7,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21272,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016684
XI_1_6,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21271,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016683
XI_1_5,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21247,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016682
XI_1_4,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21246,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016681
XI_1_3,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21245,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016680
XI_1_2,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21244,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016679
XI_1_1,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21243,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016678
XI_1_-,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21241,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016677
X_21_93,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21137,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016674
X_21_92,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21139,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016673
X_21_91,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21227,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016672
X_21_90,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21228,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016671
X_21_89,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21226,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016670
X_21_88,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21233,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016669
X_21_87,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21222,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016668
X_21_86,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=20967,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016667
X_21_85,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21202,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016666
X_21_84,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21225,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016665
X_21_83,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21217,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016664
X_21_82,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21221,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016663
X_21_81,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21219,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016662
X_21_80,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21224,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016661
X_21_79,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21223,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016660
X_21_78,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21218,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016659
X_21_77,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21176,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016658
X_21_76,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21194,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016657
X_21_75,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21193,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016656
X_21_74,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21158,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016655
X_21_73,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21206,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016654
X_21_72,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21205,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016653
X_21_71,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21214,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016652
X_21_70,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21213,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016651
