convocation,session,order_no,transcript_url,recording_url
XI,3,22,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016799,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21801
XI,3,21,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016798,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21507
XI,3,20,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016797,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21608
XI,3,19,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016796,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21609
XI,3,18,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016795,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21628
XI,3,17,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016794,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21508
XI,3,16,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016793,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21506
XI,3,15,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016787,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21607
XI,3,14,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016786,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21606
XI,3,13,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016785,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21519
XI,3,12,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016777,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21505
XI,3,11,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016776,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21504
XI,3,10,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016775,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21511
XI,3,9,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016773,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21509
XI,3,8,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016772,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21544
XI,3,7,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016771,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21510
XI,3,6,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016770,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21590
XI,3,5,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016769,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21591
XI,3,4,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016768,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21502
XI,3,3,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016767,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21503
XI,3,2,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016766,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21501
XI,3,1,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016765,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21604
XI,3,-,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016764,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21474
XI,2,35,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016760,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21356
XI,2,34,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016759,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21350
XI,2,33,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016758,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21473
XI,2,32,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016757,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21472
XI,2,31,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016755,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21427
XI,2,30,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016754,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21428
XI,2,29,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016753,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21437
XI,2,28,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016752,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21429
XI,2,27,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016751,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21331
XI,2,26,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016750,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21419
XI,2,25,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016749,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21418
