video_id,mp3_link,docx_link,doc_link
11_124_10062009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 124 10-06-2009 1000hrs.mp3,,https://parlament.mt/media/36311/20090610_124d_par.doc
11_125_10062009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 125 10-06-2009 1800hrs.mp3,,https://parlament.mt/media/36307/20090610_125d_par.doc
11_126_12062009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 126 12-06-2009 1800hrs.mp3,,https://parlament.mt/media/36303/20090612_126d_par.doc
11_127_15062009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 127 15-06-2009 1800hrs.mp3,,https://parlament.mt/media/36299/20090615_127d_par.doc
11_128_16062009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 128 16-06-2009 0900hrs.mp3,,https://parlament.mt/media/36295/20090616_128d_par.doc
11_129_16062009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 129 16-06-2009 1800hrs.mp3,,https://parlament.mt/media/36291/20090616_129d_par.doc
11_130_17062009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 130 17-06-2009 1000hrs.mp3,,https://parlament.mt/media/36287/20090617_130d_par.doc
11_131_22062009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 131 22-06-2009 1800hrs.mp3,,https://parlament.mt/media/36283/20090622_131d_par.doc
11_132_23062009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 132 23-06-2009 1800hrs.mp3,,https://parlament.mt/media/36279/20090623_132d_par.doc
11_133_30062009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 133 30-06-2009 0900hrs.mp3,,https://parlament.mt/media/36275/20090630_133d_par.doc
11_134_30062009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 134 30-06-2009 1800hrs.mp3,,https://parlament.mt/media/36271/20090630_134d_par.doc
11_135_01072009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 135 01-07-2009 1000hrs.mp3,,https://parlament.mt/media/36267/20090701_135d_par.doc
11_136_01072009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 136 01-07-2009 1800hrs.mp3,,https://parlament.mt/media/36263/20090701_136d_par.doc
11_137_06072009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 137 06-07-2009 1800hrs.mp3,,https://parlament.mt/media/36259/20090706_137d_par.doc
11_138_07072009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 138 07-07-2009 1800hrs.mp3,,https://parlament.mt/media/36255/20090707_138d_par.doc
11_139_08072009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 139 08-07-2009 1800hrs.mp3,,https://parlament.mt/media/36251/20090708_139d_par.doc
11_140_14072009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 140 14-07-2009 1800hrs.mp3,,https://parlament.mt/media/36247/20090714_140d_par.doc
